"Country Name","Country Code","Year","Value"
"French Polynesia","PYF","1960","78076"
"French Polynesia","PYF","1961","80703"
"French Polynesia","PYF","1962","83651"
"French Polynesia","PYF","1963","86837"
"French Polynesia","PYF","1964","90132"
"French Polynesia","PYF","1965","93438"
"French Polynesia","PYF","1966","96732"
"French Polynesia","PYF","1967","100029"
"French Polynesia","PYF","1968","103386"
"French Polynesia","PYF","1969","106857"
"French Polynesia","PYF","1970","110495"
"French Polynesia","PYF","1971","114313"
"French Polynesia","PYF","1972","118279"
"French Polynesia","PYF","1973","122356"
"French Polynesia","PYF","1974","126486"
"French Polynesia","PYF","1975","130619"
"French Polynesia","PYF","1976","134748"
"French Polynesia","PYF","1977","138864"
"French Polynesia","PYF","1978","143032"
"French Polynesia","PYF","1979","147296"
"French Polynesia","PYF","1980","151708"
"French Polynesia","PYF","1981","156243"
"French Polynesia","PYF","1982","160888"
"French Polynesia","PYF","1983","165613"
"French Polynesia","PYF","1984","170396"
"French Polynesia","PYF","1985","175204"
"French Polynesia","PYF","1986","180075"
"French Polynesia","PYF","1987","184950"
"French Polynesia","PYF","1988","189738"
"French Polynesia","PYF","1989","194252"
"French Polynesia","PYF","1990","198375"
"French Polynesia","PYF","1991","202016"
"French Polynesia","PYF","1992","205266"
"French Polynesia","PYF","1993","208345"
"French Polynesia","PYF","1994","211579"
"French Polynesia","PYF","1995","215196"
"French Polynesia","PYF","1996","219283"
"French Polynesia","PYF","1997","223731"
"French Polynesia","PYF","1998","228376"
"French Polynesia","PYF","1999","232952"
"French Polynesia","PYF","2000","237258"
"French Polynesia","PYF","2001","241273"
"French Polynesia","PYF","2002","245006"
"French Polynesia","PYF","2003","248499"
"French Polynesia","PYF","2004","251775"
"French Polynesia","PYF","2005","254886"
"French Polynesia","PYF","2006","257832"
"French Polynesia","PYF","2007","260594"
"French Polynesia","PYF","2008","263179"
"French Polynesia","PYF","2009","265581"
"French Polynesia","PYF","2010","267820"
"French Polynesia","PYF","2011","269843"
"French Polynesia","PYF","2012","271703"
"French Polynesia","PYF","2013","273528"
"French Polynesia","PYF","2014","275484"
"French Polynesia","PYF","2015","277690"
"French Polynesia","PYF","2016","280208"
