"Country Name","Country Code","Year","Value"
"Gabon","GAB","1960","499184"
"Gabon","GAB","1961","504167"
"Gabon","GAB","1962","509806"
"Gabon","GAB","1963","516265"
"Gabon","GAB","1964","523789"
"Gabon","GAB","1965","532511"
"Gabon","GAB","1966","542557"
"Gabon","GAB","1967","553823"
"Gabon","GAB","1968","565873"
"Gabon","GAB","1969","578108"
"Gabon","GAB","1970","590118"
"Gabon","GAB","1971","601731"
"Gabon","GAB","1972","613123"
"Gabon","GAB","1973","624621"
"Gabon","GAB","1974","636696"
"Gabon","GAB","1975","649716"
"Gabon","GAB","1976","663770"
"Gabon","GAB","1977","678774"
"Gabon","GAB","1978","694732"
"Gabon","GAB","1979","711533"
"Gabon","GAB","1980","729159"
"Gabon","GAB","1981","747587"
"Gabon","GAB","1982","766855"
"Gabon","GAB","1983","787013"
"Gabon","GAB","1984","808083"
"Gabon","GAB","1985","830085"
"Gabon","GAB","1986","853027"
"Gabon","GAB","1987","876863"
"Gabon","GAB","1988","901458"
"Gabon","GAB","1989","926622"
"Gabon","GAB","1990","952212"
"Gabon","GAB","1991","978223"
"Gabon","GAB","1992","1004676"
"Gabon","GAB","1993","1031504"
"Gabon","GAB","1994","1058663"
"Gabon","GAB","1995","1086137"
"Gabon","GAB","1996","1113994"
"Gabon","GAB","1997","1142324"
"Gabon","GAB","1998","1171224"
"Gabon","GAB","1999","1200773"
"Gabon","GAB","2000","1231122"
"Gabon","GAB","2001","1262259"
"Gabon","GAB","2002","1294409"
"Gabon","GAB","2003","1328146"
"Gabon","GAB","2004","1364205"
"Gabon","GAB","2005","1403126"
"Gabon","GAB","2006","1444844"
"Gabon","GAB","2007","1489193"
"Gabon","GAB","2008","1536411"
"Gabon","GAB","2009","1586754"
"Gabon","GAB","2010","1640210"
"Gabon","GAB","2011","1697101"
"Gabon","GAB","2012","1756817"
"Gabon","GAB","2013","1817271"
"Gabon","GAB","2014","1875713"
"Gabon","GAB","2015","1930175"
"Gabon","GAB","2016","1979786"
