"Year","Value"
"1960","367928.0"
"1961","376737.0"
"1962","383523.0"
"1963","389072.0"
"1964","394553.0"
"1965","400861.0"
"1966","408180.0"
"1967","416339.0"
"1968","425510.0"
"1969","435798.0"
"1970","447285.0"
"1971","460194.0"
"1972","474539.0"
"1973","489861.0"
"1974","505512.0"
"1975","521070.0"
"1976","536409.0"
"1977","551817.0"
"1978","567831.0"
"1979","585157.0"
"1980","604369.0"
"1981","625411.0"
"1982","648210.0"
"1983","673238.0"
"1984","701104.0"
"1985","732096.0"
"1986","766589.0"
"1987","804125.0"
"1988","843050.0"
"1989","881138.0"
"1990","916808.0"
"1991","949493.0"
"1992","979718.0"
"1993","1008358.0"
"1994","1036829.0"
"1995","1066223.0"
"1996","1096708.0"
"1997","1128169.0"
"1998","1160944.0"
"1999","1195420.0"
"2000","1231844.0"
"2001","1270495.0"
"2002","1311349.0"
"2003","1354194.0"
"2004","1398573.0"
"2005","1444204.0"
"2006","1491021.0"
"2007","1539116.0"
"2008","1588572.0"
"2009","1639560.0"
"2010","1692149.0"
"2011","1746363.0"
"2012","1802125.0"
"2013","1859324.0"
"2014","1917852.0"
"2015","1977590.0"
"2016","2038501.0"
