"Country Name","Country Code","Year","Value"
"Ghana","GHA","1960","6652287"
"Ghana","GHA","1961","6866539"
"Ghana","GHA","1962","7085464"
"Ghana","GHA","1963","7303432"
"Ghana","GHA","1964","7513289"
"Ghana","GHA","1965","7710549"
"Ghana","GHA","1966","7890992"
"Ghana","GHA","1967","8057444"
"Ghana","GHA","1968","8221020"
"Ghana","GHA","1969","8397347"
"Ghana","GHA","1970","8596983"
"Ghana","GHA","1971","8827273"
"Ghana","GHA","1972","9083573"
"Ghana","GHA","1973","9350111"
"Ghana","GHA","1974","9604276"
"Ghana","GHA","1975","9831407"
"Ghana","GHA","1976","10023472"
"Ghana","GHA","1977","10189890"
"Ghana","GHA","1978","10354499"
"Ghana","GHA","1979","10550777"
"Ghana","GHA","1980","10802028"
"Ghana","GHA","1981","11117605"
"Ghana","GHA","1982","11488106"
"Ghana","GHA","1983","11895125"
"Ghana","GHA","1984","12311158"
"Ghana","GHA","1985","12716228"
"Ghana","GHA","1986","13104296"
"Ghana","GHA","1987","13481406"
"Ghana","GHA","1988","13854214"
"Ghana","GHA","1989","14233874"
"Ghana","GHA","1990","14628260"
"Ghana","GHA","1991","15039514"
"Ghana","GHA","1992","15463854"
"Ghana","GHA","1993","15896432"
"Ghana","GHA","1994","16330174"
"Ghana","GHA","1995","16760467"
"Ghana","GHA","1996","17185608"
"Ghana","GHA","1997","17608812"
"Ghana","GHA","1998","18036494"
"Ghana","GHA","1999","18477612"
"Ghana","GHA","2000","18938762"
"Ghana","GHA","2001","19421605"
"Ghana","GHA","2002","19924522"
"Ghana","GHA","2003","20446782"
"Ghana","GHA","2004","20986536"
"Ghana","GHA","2005","21542009"
"Ghana","GHA","2006","22113425"
"Ghana","GHA","2007","22700212"
"Ghana","GHA","2008","23298640"
"Ghana","GHA","2009","23903831"
"Ghana","GHA","2010","24512104"
"Ghana","GHA","2011","25121796"
"Ghana","GHA","2012","25733049"
"Ghana","GHA","2013","26346251"
"Ghana","GHA","2014","26962563"
"Ghana","GHA","2015","27582821"
"Ghana","GHA","2016","28206728"
