"Year","Value"
"1960","8331725.0"
"1961","8398050.0"
"1962","8448233.0"
"1963","8479625.0"
"1964","8510429.0"
"1965","8550333.0"
"1966","8613651.0"
"1967","8684088.0"
"1968","8740765.0"
"1969","8772764.0"
"1970","8792806.0"
"1971","8831036.0"
"1972","8888628.0"
"1973","8929086.0"
"1974","8962022.0"
"1975","9046541.0"
"1976","9188150.0"
"1977","9308479.0"
"1978","9429959.0"
"1979","9548258.0"
"1980","9642505.0"
"1981","9729350.0"
"1982","9789513.0"
"1983","9846627.0"
"1984","9895801.0"
"1985","9934300.0"
"1986","9967213.0"
"1987","10000595.0"
"1988","10036983.0"
"1989","10089498.0"
"1990","10196792.0"
"1991","10319927.0"
"1992","10399061.0"
"1993","10460415.0"
"1994","10512922.0"
"1995","10562153.0"
"1996","10608800.0"
"1997","10661259.0"
"1998","10720509.0"
"1999","10761698.0"
"2000","10805808.0"
"2001","10862132.0"
"2002","10902022.0"
"2003","10928070.0"
"2004","10955141.0"
"2005","10987314.0"
"2006","11020362.0"
"2007","11048473.0"
"2008","11077841.0"
"2009","11107017.0"
"2010","11121341.0"
"2011","11104899.0"
"2012","11045011.0"
"2013","10965211.0"
"2014","10892413.0"
"2015","10820883.0"
"2016","10746740.0"
