"Country Name","Country Code","Year","Value"
"Greenland","GRL","1960","32500"
"Greenland","GRL","1961","33700"
"Greenland","GRL","1962","35000"
"Greenland","GRL","1963","36400"
"Greenland","GRL","1964","37600"
"Greenland","GRL","1965","39200"
"Greenland","GRL","1966","40500"
"Greenland","GRL","1967","41900"
"Greenland","GRL","1968","43400"
"Greenland","GRL","1969","44900"
"Greenland","GRL","1970","46400"
"Greenland","GRL","1971","47200"
"Greenland","GRL","1972","48300"
"Greenland","GRL","1973","49000"
"Greenland","GRL","1974","49500"
"Greenland","GRL","1975","49600"
"Greenland","GRL","1976","49700"
"Greenland","GRL","1977","49400"
"Greenland","GRL","1978","49200"
"Greenland","GRL","1979","49600"
"Greenland","GRL","1980","50200"
"Greenland","GRL","1981","51000"
"Greenland","GRL","1982","51500"
"Greenland","GRL","1983","52100"
"Greenland","GRL","1984","52700"
"Greenland","GRL","1985","53200"
"Greenland","GRL","1986","53500"
"Greenland","GRL","1987","54100"
"Greenland","GRL","1988","54800"
"Greenland","GRL","1989","55300"
"Greenland","GRL","1990","55600"
"Greenland","GRL","1991","55500"
"Greenland","GRL","1992","55300"
"Greenland","GRL","1993","55200"
"Greenland","GRL","1994","55500"
"Greenland","GRL","1995","55800"
"Greenland","GRL","1996","55900"
"Greenland","GRL","1997","56000"
"Greenland","GRL","1998","56100"
"Greenland","GRL","1999","56100"
"Greenland","GRL","2000","56200"
"Greenland","GRL","2001","56350"
"Greenland","GRL","2002","56609"
"Greenland","GRL","2003","56765"
"Greenland","GRL","2004","56911"
"Greenland","GRL","2005","56935"
"Greenland","GRL","2006","56774"
"Greenland","GRL","2007","56555"
"Greenland","GRL","2008","56328"
"Greenland","GRL","2009","56323"
"Greenland","GRL","2010","56905"
"Greenland","GRL","2011","56890"
"Greenland","GRL","2012","56810"
"Greenland","GRL","2013","56483"
"Greenland","GRL","2014","56295"
"Greenland","GRL","2015","56114"
"Greenland","GRL","2016","56186"
