"Country Name","Country Code","Year","Value"
"Grenada","GRD","1960","89869"
"Grenada","GRD","1961","91260"
"Grenada","GRD","1962","92425"
"Grenada","GRD","1963","93350"
"Grenada","GRD","1964","94066"
"Grenada","GRD","1965","94581"
"Grenada","GRD","1966","94875"
"Grenada","GRD","1967","94961"
"Grenada","GRD","1968","94868"
"Grenada","GRD","1969","94682"
"Grenada","GRD","1970","94426"
"Grenada","GRD","1971","94185"
"Grenada","GRD","1972","93934"
"Grenada","GRD","1973","93630"
"Grenada","GRD","1974","93152"
"Grenada","GRD","1975","92448"
"Grenada","GRD","1976","91437"
"Grenada","GRD","1977","90184"
"Grenada","GRD","1978","89073"
"Grenada","GRD","1979","88568"
"Grenada","GRD","1980","89005"
"Grenada","GRD","1981","90572"
"Grenada","GRD","1982","93091"
"Grenada","GRD","1983","95985"
"Grenada","GRD","1984","98439"
"Grenada","GRD","1985","99906"
"Grenada","GRD","1986","100143"
"Grenada","GRD","1987","99380"
"Grenada","GRD","1988","98062"
"Grenada","GRD","1989","96869"
"Grenada","GRD","1990","96283"
"Grenada","GRD","1991","96454"
"Grenada","GRD","1992","97198"
"Grenada","GRD","1993","98305"
"Grenada","GRD","1994","99405"
"Grenada","GRD","1995","100255"
"Grenada","GRD","1996","100796"
"Grenada","GRD","1997","101122"
"Grenada","GRD","1998","101309"
"Grenada","GRD","1999","101442"
"Grenada","GRD","2000","101619"
"Grenada","GRD","2001","101849"
"Grenada","GRD","2002","102100"
"Grenada","GRD","2003","102375"
"Grenada","GRD","2004","102656"
"Grenada","GRD","2005","102949"
"Grenada","GRD","2006","103259"
"Grenada","GRD","2007","103586"
"Grenada","GRD","2008","103930"
"Grenada","GRD","2009","104296"
"Grenada","GRD","2010","104677"
"Grenada","GRD","2011","105075"
"Grenada","GRD","2012","105481"
"Grenada","GRD","2013","105909"
"Grenada","GRD","2014","106360"
"Grenada","GRD","2015","106823"
"Grenada","GRD","2016","107317"
