"Year","Value"
"1960","66742.0"
"1961","68072.0"
"1962","69604.0"
"1963","71286.0"
"1964","73051.0"
"1965","74830.0"
"1966","76607.0"
"1967","78404.0"
"1968","80217.0"
"1969","82040.0"
"1970","83877.0"
"1971","85726.0"
"1972","87587.0"
"1973","89464.0"
"1974","91377.0"
"1975","93352.0"
"1976","95385.0"
"1977","97477.0"
"1978","99630.0"
"1979","101844.0"
"1980","104133.0"
"1981","106485.0"
"1982","108906.0"
"1983","111402.0"
"1984","113961.0"
"1985","116572.0"
"1986","119232.0"
"1987","121919.0"
"1988","124673.0"
"1989","127522.0"
"1990","130482.0"
"1991","133558.0"
"1992","136692.0"
"1993","139818.0"
"1994","142802.0"
"1995","145561.0"
"1996","148060.0"
"1997","150303.0"
"1998","152277.0"
"1999","153953.0"
"2000","155329.0"
"2001","156401.0"
"2002","157175.0"
"2003","157714.0"
"2004","158099.0"
"2005","158402.0"
"2006","158648.0"
"2007","158855.0"
"2008","159035.0"
"2009","159231.0"
"2010","159444.0"
"2011","159678.0"
"2012","159973.0"
"2013","160375.0"
"2014","160967.0"
"2015","161797.0"
"2016","162896.0"
