"Country Name","Country Code","Year","Value"
"Guyana","GUY","1960","571819"
"Guyana","GUY","1961","589274"
"Guyana","GUY","1962","606285"
"Guyana","GUY","1963","622575"
"Guyana","GUY","1964","637845"
"Guyana","GUY","1965","651868"
"Guyana","GUY","1966","664521"
"Guyana","GUY","1967","675871"
"Guyana","GUY","1968","686146"
"Guyana","GUY","1969","695745"
"Guyana","GUY","1970","704934"
"Guyana","GUY","1971","713684"
"Guyana","GUY","1972","721948"
"Guyana","GUY","1973","729916"
"Guyana","GUY","1974","737847"
"Guyana","GUY","1975","745841"
"Guyana","GUY","1976","754101"
"Guyana","GUY","1977","762424"
"Guyana","GUY","1978","770125"
"Guyana","GUY","1979","776254"
"Guyana","GUY","1980","780153"
"Guyana","GUY","1981","781732"
"Guyana","GUY","1982","781246"
"Guyana","GUY","1983","778948"
"Guyana","GUY","1984","775219"
"Guyana","GUY","1985","770435"
"Guyana","GUY","1986","764459"
"Guyana","GUY","1987","757506"
"Guyana","GUY","1988","750731"
"Guyana","GUY","1989","745665"
"Guyana","GUY","1990","743309"
"Guyana","GUY","1991","744289"
"Guyana","GUY","1992","748134"
"Guyana","GUY","1993","753484"
"Guyana","GUY","1994","758342"
"Guyana","GUY","1995","761291"
"Guyana","GUY","1996","761861"
"Guyana","GUY","1997","760510"
"Guyana","GUY","1998","757952"
"Guyana","GUY","1999","755278"
"Guyana","GUY","2000","753301"
"Guyana","GUY","2001","752263"
"Guyana","GUY","2002","751884"
"Guyana","GUY","2003","751857"
"Guyana","GUY","2004","751652"
"Guyana","GUY","2005","750946"
"Guyana","GUY","2006","749601"
"Guyana","GUY","2007","747869"
"Guyana","GUY","2008","746314"
"Guyana","GUY","2009","745693"
"Guyana","GUY","2010","746556"
"Guyana","GUY","2011","749100"
"Guyana","GUY","2012","753091"
"Guyana","GUY","2013","758081"
"Guyana","GUY","2014","763393"
"Guyana","GUY","2015","768514"
"Guyana","GUY","2016","773303"
