"Year","Value"
"1960","3866159.0"
"1961","3943364.0"
"1962","4022593.0"
"1963","4103730.0"
"1964","4186640.0"
"1965","4271133.0"
"1966","4357484.0"
"1967","4445530.0"
"1968","4534234.0"
"1969","4622208.0"
"1970","4708642.0"
"1971","4793155.0"
"1972","4876560.0"
"1973","4960657.0"
"1974","5047944.0"
"1975","5140357.0"
"1976","5238245.0"
"1977","5341419.0"
"1978","5450549.0"
"1979","5566266.0"
"1980","5688836.0"
"1981","5818671.0"
"1982","5955267.0"
"1983","6096692.0"
"1984","6240329.0"
"1985","6384195.0"
"1986","6527543.0"
"1987","6670568.0"
"1988","6813348.0"
"1989","6956300.0"
"1990","7099732.0"
"1991","7243391.0"
"1992","7386975.0"
"1993","7530705.0"
"1994","7674911.0"
"1995","7819806.0"
"1996","7965553.0"
"1997","8111951.0"
"1998","8258483.0"
"1999","8404398.0"
"2000","8549200.0"
"2001","8692567.0"
"2002","8834733.0"
"2003","8976552.0"
"2004","9119178.0"
"2005","9263404.0"
"2006","9409457.0"
"2007","9556889.0"
"2008","9705029.0"
"2009","9852870.0"
"2010","9999617.0"
"2011","10145054.0"
"2012","10289210.0"
"2013","10431776.0"
"2014","10572466.0"
"2015","10711061.0"
"2016","10847334.0"
