"Year","Value"
"1960","162495580.0"
"1961","166348536.0"
"1962","170348129.0"
"1963","174502178.0"
"1964","178820615.0"
"1965","183311108.0"
"1966","187976481.0"
"1967","192817243.0"
"1968","197836081.0"
"1969","203035027.0"
"1970","208415064.0"
"1971","213978472.0"
"1972","219724282.0"
"1973","225645580.0"
"1974","231732881.0"
"1975","237979218.0"
"1976","244394102.0"
"1977","250981876.0"
"1978","257725573.0"
"1979","264602415.0"
"1980","271603169.0"
"1981","278728186.0"
"1982","286006012.0"
"1983","293492340.0"
"1984","301260428.0"
"1985","309370058.0"
"1986","317825339.0"
"1987","326631480.0"
"1988","335847788.0"
"1989","345544609.0"
"1990","355762200.0"
"1991","366551884.0"
"1992","377879250.0"
"1993","389594161.0"
"1994","401488248.0"
"1995","413418810.0"
"1996","425324425.0"
"1997","437269757.0"
"1998","449393754.0"
"1999","461899663.0"
"2000","474935556.0"
"2001","488553040.0"
"2002","502710676.0"
"2003","517352559.0"
"2004","532385197.0"
"2005","547744433.0"
"2006","563415107.0"
"2007","579434057.0"
"2008","595849807.0"
"2009","612731524.0"
"2010","630127436.0"
"2011","648053253.0"
"2012","666488623.0"
"2013","685401960.0"
"2014","704745420.0"
"2015","724482652.0"
"2016","744602976.0"
