"Year","Value"
"1960","754609427.0"
"1961","765954945.0"
"1962","775951378.0"
"1963","785862106.0"
"1964","795665202.0"
"1965","805075170.0"
"1966","813853230.0"
"1967","822241252.0"
"1968","829645659.0"
"1969","838753008.0"
"1970","846882888.0"
"1971","855639296.0"
"1972","864539350.0"
"1973","872567660.0"
"1974","881670409.0"
"1975","890246720.0"
"1976","897372543.0"
"1977","904741646.0"
"1978","912161808.0"
"1979","919955840.0"
"1980","927553164.0"
"1981","935158734.0"
"1982","942355372.0"
"1983","949117924.0"
"1984","955531829.0"
"1985","961975411.0"
"1986","968708868.0"
"1987","975426680.0"
"1988","982292069.0"
"1989","989594399.0"
"1990","997353719.0"
"1991","1005572310.0"
"1992","1011955640.0"
"1993","1019867916.0"
"1994","1027255148.0"
"1995","1036155042.0"
"1996","1043361631.0"
"1997","1050343650.0"
"1998","1057108848.0"
"1999","1063829397.0"
"2000","1070496404.0"
"2001","1077634323.0"
"2002","1084822379.0"
"2003","1091996228.0"
"2004","1099536199.0"
"2005","1107240168.0"
"2006","1115520890.0"
"2007","1124299890.0"
"2008","1133634254.0"
"2009","1141985286.0"
"2010","1149511694.0"
"2011","1154998991.0"
"2012","1161900127.0"
"2013","1168843771.0"
"2014","1175966521.0"
"2015","1182929820.0"
"2016","1190029421.0"
