"Country Name","Country Code","Year","Value"
"Hong Kong SAR, China","HKG","1960","3075605"
"Hong Kong SAR, China","HKG","1961","3168100"
"Hong Kong SAR, China","HKG","1962","3305200"
"Hong Kong SAR, China","HKG","1963","3420900"
"Hong Kong SAR, China","HKG","1964","3504600"
"Hong Kong SAR, China","HKG","1965","3597900"
"Hong Kong SAR, China","HKG","1966","3629900"
"Hong Kong SAR, China","HKG","1967","3722800"
"Hong Kong SAR, China","HKG","1968","3802700"
"Hong Kong SAR, China","HKG","1969","3863900"
"Hong Kong SAR, China","HKG","1970","3959000"
"Hong Kong SAR, China","HKG","1971","4045300"
"Hong Kong SAR, China","HKG","1972","4123600"
"Hong Kong SAR, China","HKG","1973","4241600"
"Hong Kong SAR, China","HKG","1974","4377800"
"Hong Kong SAR, China","HKG","1975","4461600"
"Hong Kong SAR, China","HKG","1976","4518000"
"Hong Kong SAR, China","HKG","1977","4583700"
"Hong Kong SAR, China","HKG","1978","4667500"
"Hong Kong SAR, China","HKG","1979","4929700"
"Hong Kong SAR, China","HKG","1980","5063100"
"Hong Kong SAR, China","HKG","1981","5183400"
"Hong Kong SAR, China","HKG","1982","5264500"
"Hong Kong SAR, China","HKG","1983","5345100"
"Hong Kong SAR, China","HKG","1984","5397900"
"Hong Kong SAR, China","HKG","1985","5456200"
"Hong Kong SAR, China","HKG","1986","5524600"
"Hong Kong SAR, China","HKG","1987","5580500"
"Hong Kong SAR, China","HKG","1988","5627600"
"Hong Kong SAR, China","HKG","1989","5686200"
"Hong Kong SAR, China","HKG","1990","5704500"
"Hong Kong SAR, China","HKG","1991","5752000"
"Hong Kong SAR, China","HKG","1992","5800500"
"Hong Kong SAR, China","HKG","1993","5901000"
"Hong Kong SAR, China","HKG","1994","6035400"
"Hong Kong SAR, China","HKG","1995","6156100"
"Hong Kong SAR, China","HKG","1996","6435500"
"Hong Kong SAR, China","HKG","1997","6489300"
"Hong Kong SAR, China","HKG","1998","6543700"
"Hong Kong SAR, China","HKG","1999","6606500"
"Hong Kong SAR, China","HKG","2000","6665000"
"Hong Kong SAR, China","HKG","2001","6714300"
"Hong Kong SAR, China","HKG","2002","6744100"
"Hong Kong SAR, China","HKG","2003","6730800"
"Hong Kong SAR, China","HKG","2004","6783500"
"Hong Kong SAR, China","HKG","2005","6813200"
"Hong Kong SAR, China","HKG","2006","6857100"
"Hong Kong SAR, China","HKG","2007","6916300"
"Hong Kong SAR, China","HKG","2008","6957800"
"Hong Kong SAR, China","HKG","2009","6972800"
"Hong Kong SAR, China","HKG","2010","7024200"
"Hong Kong SAR, China","HKG","2011","7071600"
"Hong Kong SAR, China","HKG","2012","7154600"
"Hong Kong SAR, China","HKG","2013","7187500"
"Hong Kong SAR, China","HKG","2014","7241700"
"Hong Kong SAR, China","HKG","2015","7305700"
"Hong Kong SAR, China","HKG","2016","7346700"
