"Country Name","Country Code","Year","Value"
"Hungary","HUN","1960","9983967"
"Hungary","HUN","1961","10029321"
"Hungary","HUN","1962","10061734"
"Hungary","HUN","1963","10087947"
"Hungary","HUN","1964","10119835"
"Hungary","HUN","1965","10147935"
"Hungary","HUN","1966","10178653"
"Hungary","HUN","1967","10216604"
"Hungary","HUN","1968","10255815"
"Hungary","HUN","1969","10298723"
"Hungary","HUN","1970","10337910"
"Hungary","HUN","1971","10367537"
"Hungary","HUN","1972","10398489"
"Hungary","HUN","1973","10432055"
"Hungary","HUN","1974","10478720"
"Hungary","HUN","1975","10540525"
"Hungary","HUN","1976","10598677"
"Hungary","HUN","1977","10648031"
"Hungary","HUN","1978","10684822"
"Hungary","HUN","1979","10704152"
"Hungary","HUN","1980","10711122"
"Hungary","HUN","1981","10711848"
"Hungary","HUN","1982","10705535"
"Hungary","HUN","1983","10689463"
"Hungary","HUN","1984","10668095"
"Hungary","HUN","1985","10648713"
"Hungary","HUN","1986","10630564"
"Hungary","HUN","1987","10612741"
"Hungary","HUN","1988","10596487"
"Hungary","HUN","1989","10481719"
"Hungary","HUN","1990","10373988"
"Hungary","HUN","1991","10373400"
"Hungary","HUN","1992","10369341"
"Hungary","HUN","1993","10357523"
"Hungary","HUN","1994","10343355"
"Hungary","HUN","1995","10328965"
"Hungary","HUN","1996","10311238"
"Hungary","HUN","1997","10290486"
"Hungary","HUN","1998","10266570"
"Hungary","HUN","1999","10237530"
"Hungary","HUN","2000","10210971"
"Hungary","HUN","2001","10187576"
"Hungary","HUN","2002","10158608"
"Hungary","HUN","2003","10129552"
"Hungary","HUN","2004","10107146"
"Hungary","HUN","2005","10087065"
"Hungary","HUN","2006","10071370"
"Hungary","HUN","2007","10055780"
"Hungary","HUN","2008","10038188"
"Hungary","HUN","2009","10022650"
"Hungary","HUN","2010","10000023"
"Hungary","HUN","2011","9971727"
"Hungary","HUN","2012","9920362"
"Hungary","HUN","2013","9893082"
"Hungary","HUN","2014","9866468"
"Hungary","HUN","2015","9843028"
"Hungary","HUN","2016","9817958"
