"Year","Value"
"1960","1919407887.0"
"1961","1939836298.0"
"1962","1973218329.0"
"1963","2018350305.0"
"1964","2063746670.0"
"1965","2110279679.0"
"1966","2160019389.0"
"1967","2209396889.0"
"1968","2260184564.0"
"1969","2313158771.0"
"1970","2367654009.0"
"1971","2423465508.0"
"1972","2478408044.0"
"1973","2533174002.0"
"1974","2587071115.0"
"1975","2639203803.0"
"1976","2690222169.0"
"1977","2740145512.0"
"1978","2790579600.0"
"1979","2841958816.0"
"1980","2893772908.0"
"1981","2946735091.0"
"1982","3002548293.0"
"1983","3058911508.0"
"1984","3114789711.0"
"1985","3171656036.0"
"1986","3230286974.0"
"1987","3290559744.0"
"1988","3351016862.0"
"1989","3410607766.0"
"1990","3468363155.0"
"1991","3524156900.0"
"1992","3578122909.0"
"1993","3631077834.0"
"1994","3683170309.0"
"1995","3734660463.0"
"1996","3785506609.0"
"1997","3836417837.0"
"1998","3886504193.0"
"1999","3935412182.0"
"2000","3982443142.0"
"2001","4028377292.0"
"2002","4073362379.88287"
"2003","4118095710.89893"
"2004","4162639288.99137"
"2005","4207162999.24397"
"2006","4251352513.48499"
"2007","4295109673.99093"
"2008","4339073871.29553"
"2009","4383580939.1102"
"2010","4427798045.36223"
"2011","4472295862.35782"
"2012","4517416870.07723"
"2013","4562691124.61008"
"2014","4607807730.73916"
"2015","4652578286.68203"
"2016","4697247117.0"
