"Year","Value"
"1960","2301897627.0"
"1961","2331635822.0"
"1962","2374688722.0"
"1963","2429878060.0"
"1964","2485749333.0"
"1965","2543190731.0"
"1966","2604311574.0"
"1967","2665519130.0"
"1968","2728489377.0"
"1969","2793865148.0"
"1970","2860891191.0"
"1971","2929334010.0"
"1972","2997073809.0"
"1973","3064933022.0"
"1974","3132415989.0"
"1975","3198758000.0"
"1976","3264663646.0"
"1977","3330121247.0"
"1978","3396706897.0"
"1979","3464795884.0"
"1980","3533831065.0"
"1981","3604524700.0"
"1982","3678602357.0"
"1983","3753779743.0"
"1984","3829034886.0"
"1985","3905848914.0"
"1986","3984993015.0"
"1987","4066327440.0"
"1988","4148376854.0"
"1989","4230092461.0"
"1990","4310509136.0"
"1991","4389375611.0"
"1992","4466925145.0"
"1993","4543801237.0"
"1994","4620029667.0"
"1995","4695886903.0"
"1996","4771331934.0"
"1997","4847036638.0"
"1998","4922022165.0"
"1999","4996027951.0"
"2000","5068859280.0"
"2001","5141153664.0"
"2002","5213009068.88287"
"2003","5285116715.89893"
"2004","5357527607.99137"
"2005","5430388379.24397"
"2006","5503417422.48499"
"2007","5576571342.99093"
"2008","5650516692.29553"
"2009","5725606720.1102"
"2010","5801348625.36223"
"2011","5877978113.35782"
"2012","5955531931.07723"
"2013","6033914680.61008"
"2014","6112778044.73916"
"2015","6191917217.68203"
"2016","6271593092.0"
