"Country Name","Country Code","Year","Value"
"IDA blend","IDB","1960","123195063"
"IDA blend","IDB","1961","126145959"
"IDA blend","IDB","1962","129235885"
"IDA blend","IDB","1963","132460233"
"IDA blend","IDB","1964","135810058"
"IDA blend","IDB","1965","139283107"
"IDA blend","IDB","1966","142884219"
"IDA blend","IDB","1967","146618832"
"IDA blend","IDB","1968","150482659"
"IDA blend","IDB","1969","154472531"
"IDA blend","IDB","1970","158588589"
"IDA blend","IDB","1971","162826704"
"IDA blend","IDB","1972","167198554"
"IDA blend","IDB","1973","171751733"
"IDA blend","IDB","1974","176545424"
"IDA blend","IDB","1975","181619647"
"IDA blend","IDB","1976","186993690"
"IDA blend","IDB","1977","192650981"
"IDA blend","IDB","1978","198566333"
"IDA blend","IDB","1979","204695751"
"IDA blend","IDB","1980","211007189"
"IDA blend","IDB","1981","217484839"
"IDA blend","IDB","1982","224129826"
"IDA blend","IDB","1983","230943958"
"IDA blend","IDB","1984","237935069"
"IDA blend","IDB","1985","245102022"
"IDA blend","IDB","1986","252445129"
"IDA blend","IDB","1987","259944139"
"IDA blend","IDB","1988","267549711"
"IDA blend","IDB","1989","275200141"
"IDA blend","IDB","1990","282899816"
"IDA blend","IDB","1991","290487021"
"IDA blend","IDB","1992","298118128"
"IDA blend","IDB","1993","305759721"
"IDA blend","IDB","1994","313402026"
"IDA blend","IDB","1995","321107441"
"IDA blend","IDB","1996","328964394"
"IDA blend","IDB","1997","336924643"
"IDA blend","IDB","1998","344939833"
"IDA blend","IDB","1999","352915069"
"IDA blend","IDB","2000","361050467"
"IDA blend","IDB","2001","369246309"
"IDA blend","IDB","2002","377544104"
"IDA blend","IDB","2003","385980348"
"IDA blend","IDB","2004","394625729"
"IDA blend","IDB","2005","403526930"
"IDA blend","IDB","2006","412705870"
"IDA blend","IDB","2007","422204235"
"IDA blend","IDB","2008","432032769"
"IDA blend","IDB","2009","442179341"
"IDA blend","IDB","2010","452947421"
"IDA blend","IDB","2011","463997812"
"IDA blend","IDB","2012","474993526"
"IDA blend","IDB","2013","486261860"
"IDA blend","IDB","2014","497751634"
"IDA blend","IDB","2015","509396383"
"IDA blend","IDB","2016","521159393"
