"Country Name","Country Code","Year","Value"
"IDA only","IDX","1960","259294677"
"IDA only","IDX","1961","265653565"
"IDA only","IDX","1962","272234508"
"IDA only","IDX","1963","279067522"
"IDA only","IDX","1964","286192605"
"IDA only","IDX","1965","293627945"
"IDA only","IDX","1966","301407966"
"IDA only","IDX","1967","309503409"
"IDA only","IDX","1968","317822154"
"IDA only","IDX","1969","326233846"
"IDA only","IDX","1970","334648593"
"IDA only","IDX","1971","343041798"
"IDA only","IDX","1972","351467211"
"IDA only","IDX","1973","360007287"
"IDA only","IDX","1974","368799450"
"IDA only","IDX","1975","377934550"
"IDA only","IDX","1976","387447787"
"IDA only","IDX","1977","397324754"
"IDA only","IDX","1978","407560964"
"IDA only","IDX","1979","418141317"
"IDA only","IDX","1980","429050968"
"IDA only","IDX","1981","440304770"
"IDA only","IDX","1982","451924238"
"IDA only","IDX","1983","463924277"
"IDA only","IDX","1984","476310106"
"IDA only","IDX","1985","489090856"
"IDA only","IDX","1986","502260912"
"IDA only","IDX","1987","515823557"
"IDA only","IDX","1988","529810281"
"IDA only","IDX","1989","544284554"
"IDA only","IDX","1990","559246165"
"IDA only","IDX","1991","574731690"
"IDA only","IDX","1992","590684108"
"IDA only","IDX","1993","606963682"
"IDA only","IDX","1994","623457332"
"IDA only","IDX","1995","640118999"
"IDA only","IDX","1996","656860931"
"IDA only","IDX","1997","673694158"
"IDA only","IDX","1998","690578139"
"IDA only","IDX","1999","707700700"
"IDA only","IDX","2000","725365671"
"IDA only","IDX","2001","743530063"
"IDA only","IDX","2002","762102585"
"IDA only","IDX","2003","781040657"
"IDA only","IDX","2004","800262590"
"IDA only","IDX","2005","819698450"
"IDA only","IDX","2006","839359039"
"IDA only","IDX","2007","859257434"
"IDA only","IDX","2008","879410052"
"IDA only","IDX","2009","899846440"
"IDA only","IDX","2010","920603159"
"IDA only","IDX","2011","941684439"
"IDA only","IDX","2012","963121535"
"IDA only","IDX","2013","984961696"
"IDA only","IDX","2014","1007218680"
"IDA only","IDX","2015","1029942548"
"IDA only","IDX","2016","1053186582"
