"Country Name","Country Code","Year","Value"
"IDA total","IDA","1960","382489740"
"IDA total","IDA","1961","391799524"
"IDA total","IDA","1962","401470393"
"IDA total","IDA","1963","411527755"
"IDA total","IDA","1964","422002663"
"IDA total","IDA","1965","432911052"
"IDA total","IDA","1966","444292185"
"IDA total","IDA","1967","456122241"
"IDA total","IDA","1968","468304813"
"IDA total","IDA","1969","480706377"
"IDA total","IDA","1970","493237182"
"IDA total","IDA","1971","505868502"
"IDA total","IDA","1972","518665765"
"IDA total","IDA","1973","531759020"
"IDA total","IDA","1974","545344874"
"IDA total","IDA","1975","559554197"
"IDA total","IDA","1976","574441477"
"IDA total","IDA","1977","589975735"
"IDA total","IDA","1978","606127297"
"IDA total","IDA","1979","622837068"
"IDA total","IDA","1980","640058157"
"IDA total","IDA","1981","657789609"
"IDA total","IDA","1982","676054064"
"IDA total","IDA","1983","694868235"
"IDA total","IDA","1984","714245175"
"IDA total","IDA","1985","734192878"
"IDA total","IDA","1986","754706041"
"IDA total","IDA","1987","775767696"
"IDA total","IDA","1988","797359992"
"IDA total","IDA","1989","819484695"
"IDA total","IDA","1990","842145981"
"IDA total","IDA","1991","865218711"
"IDA total","IDA","1992","888802236"
"IDA total","IDA","1993","912723403"
"IDA total","IDA","1994","936859358"
"IDA total","IDA","1995","961226440"
"IDA total","IDA","1996","985825325"
"IDA total","IDA","1997","1010618801"
"IDA total","IDA","1998","1035517972"
"IDA total","IDA","1999","1060615769"
"IDA total","IDA","2000","1086416138"
"IDA total","IDA","2001","1112776372"
"IDA total","IDA","2002","1139646689"
"IDA total","IDA","2003","1167021005"
"IDA total","IDA","2004","1194888319"
"IDA total","IDA","2005","1223225380"
"IDA total","IDA","2006","1252064909"
"IDA total","IDA","2007","1281461669"
"IDA total","IDA","2008","1311442821"
"IDA total","IDA","2009","1342025781"
"IDA total","IDA","2010","1373550580"
"IDA total","IDA","2011","1405682251"
"IDA total","IDA","2012","1438115061"
"IDA total","IDA","2013","1471223556"
"IDA total","IDA","2014","1504970314"
"IDA total","IDA","2015","1539338931"
"IDA total","IDA","2016","1574345975"
