"Year","Value"
"1960","175574.0"
"1961","179029.0"
"1962","182378.0"
"1963","185653.0"
"1964","188983.0"
"1965","192286.0"
"1966","195570.0"
"1967","198751.0"
"1968","201488.0"
"1969","203369.0"
"1970","204438.0"
"1971","206098.0"
"1972","209137.0"
"1973","212317.0"
"1974","215209.0"
"1975","217979.0"
"1976","220154.0"
"1977","221799.0"
"1978","223537.0"
"1979","225735.0"
"1980","228138.0"
"1981","230755.0"
"1982","233860.0"
"1983","236977.0"
"1984","239511.0"
"1985","241405.0"
"1986","243180.0"
"1987","245859.0"
"1988","249740.0"
"1989","252852.0"
"1990","254826.0"
"1991","257797.0"
"1992","261057.0"
"1993","263725.0"
"1994","266021.0"
"1995","267468.0"
"1996","268916.0"
"1997","271128.0"
"1998","274047.0"
"1999","277381.0"
"2000","281205.0"
"2001","284968.0"
"2002","287523.0"
"2003","289521.0"
"2004","292074.0"
"2005","296734.0"
"2006","303782.0"
"2007","311566.0"
"2008","317414.0"
"2009","318499.0"
"2010","318041.0"
"2011","319014.0"
"2012","320716.0"
"2013","323764.0"
"2014","327386.0"
"2015","330815.0"
"2016","334252.0"
