"Country Name","Country Code","Year","Value"
"India","IND","1960","449480608"
"India","IND","1961","458494963"
"India","IND","1962","467852537"
"India","IND","1963","477527970"
"India","IND","1964","487484535"
"India","IND","1965","497702365"
"India","IND","1966","508161935"
"India","IND","1967","518889779"
"India","IND","1968","529967317"
"India","IND","1969","541505076"
"India","IND","1970","553578513"
"India","IND","1971","566224812"
"India","IND","1972","579411513"
"India","IND","1973","593058926"
"India","IND","1974","607050255"
"India","IND","1975","621301720"
"India","IND","1976","635771734"
"India","IND","1977","650485030"
"India","IND","1978","665502284"
"India","IND","1979","680915804"
"India","IND","1980","696783517"
"India","IND","1981","713118032"
"India","IND","1982","729868013"
"India","IND","1983","746949067"
"India","IND","1984","764245202"
"India","IND","1985","781666671"
"India","IND","1986","799181436"
"India","IND","1987","816792741"
"India","IND","1988","834489322"
"India","IND","1989","852270034"
"India","IND","1990","870133480"
"India","IND","1991","888054875"
"India","IND","1992","906021106"
"India","IND","1993","924057817"
"India","IND","1994","942204249"
"India","IND","1995","960482795"
"India","IND","1996","978893217"
"India","IND","1997","997405318"
"India","IND","1998","1015974042"
"India","IND","1999","1034539214"
"India","IND","2000","1053050912"
"India","IND","2001","1071477855"
"India","IND","2002","1089807112"
"India","IND","2003","1108027848"
"India","IND","2004","1126135777"
"India","IND","2005","1144118674"
"India","IND","2006","1161977719"
"India","IND","2007","1179681239"
"India","IND","2008","1197146906"
"India","IND","2009","1214270132"
"India","IND","2010","1230980691"
"India","IND","2011","1247236029"
"India","IND","2012","1263065852"
"India","IND","2013","1278562207"
"India","IND","2014","1293859294"
"India","IND","2015","1309053980"
"India","IND","2016","1324171354"
