"Country Name","Country Code","Year","Value"
"Iran, Islamic Rep.","IRN","1960","21906903"
"Iran, Islamic Rep.","IRN","1961","22480418"
"Iran, Islamic Rep.","IRN","1962","23071429"
"Iran, Islamic Rep.","IRN","1963","23680432"
"Iran, Islamic Rep.","IRN","1964","24308085"
"Iran, Islamic Rep.","IRN","1965","24955115"
"Iran, Islamic Rep.","IRN","1966","25624656"
"Iran, Islamic Rep.","IRN","1967","26318119"
"Iran, Islamic Rep.","IRN","1968","27032943"
"Iran, Islamic Rep.","IRN","1969","27765243"
"Iran, Islamic Rep.","IRN","1970","28514010"
"Iran, Islamic Rep.","IRN","1971","29281268"
"Iran, Islamic Rep.","IRN","1972","30074298"
"Iran, Islamic Rep.","IRN","1973","30904271"
"Iran, Islamic Rep.","IRN","1974","31785500"
"Iran, Islamic Rep.","IRN","1975","32730554"
"Iran, Islamic Rep.","IRN","1976","33737768"
"Iran, Islamic Rep.","IRN","1977","34810723"
"Iran, Islamic Rep.","IRN","1978","35972652"
"Iran, Islamic Rep.","IRN","1979","37252659"
"Iran, Islamic Rep.","IRN","1980","38668220"
"Iran, Islamic Rep.","IRN","1981","40217629"
"Iran, Islamic Rep.","IRN","1982","41883332"
"Iran, Islamic Rep.","IRN","1983","43645092"
"Iran, Islamic Rep.","IRN","1984","45474708"
"Iran, Islamic Rep.","IRN","1985","47342702"
"Iran, Islamic Rep.","IRN","1986","49256842"
"Iran, Islamic Rep.","IRN","1987","51197482"
"Iran, Islamic Rep.","IRN","1988","53075618"
"Iran, Islamic Rep.","IRN","1989","54777114"
"Iran, Islamic Rep.","IRN","1990","56226185"
"Iran, Islamic Rep.","IRN","1991","57375584"
"Iran, Islamic Rep.","IRN","1992","58260738"
"Iran, Islamic Rep.","IRN","1993","58991218"
"Iran, Islamic Rep.","IRN","1994","59725125"
"Iran, Islamic Rep.","IRN","1995","60575644"
"Iran, Islamic Rep.","IRN","1996","61583089"
"Iran, Islamic Rep.","IRN","1997","62710557"
"Iran, Islamic Rep.","IRN","1998","63900630"
"Iran, Islamic Rep.","IRN","1999","65062660"
"Iran, Islamic Rep.","IRN","2000","66131854"
"Iran, Islamic Rep.","IRN","2001","67096414"
"Iran, Islamic Rep.","IRN","2002","67983330"
"Iran, Islamic Rep.","IRN","2003","68812713"
"Iran, Islamic Rep.","IRN","2004","69617100"
"Iran, Islamic Rep.","IRN","2005","70421811"
"Iran, Islamic Rep.","IRN","2006","71227880"
"Iran, Islamic Rep.","IRN","2007","72031103"
"Iran, Islamic Rep.","IRN","2008","72845542"
"Iran, Islamic Rep.","IRN","2009","73687565"
"Iran, Islamic Rep.","IRN","2010","74567511"
"Iran, Islamic Rep.","IRN","2011","75491582"
"Iran, Islamic Rep.","IRN","2012","76453574"
"Iran, Islamic Rep.","IRN","2013","77435384"
"Iran, Islamic Rep.","IRN","2014","78411092"
"Iran, Islamic Rep.","IRN","2015","79360487"
"Iran, Islamic Rep.","IRN","2016","80277428"
