"Year","Value"
"1960","7289761.0"
"1961","7475352.0"
"1962","7674223.0"
"1963","7888914.0"
"1964","8122199.0"
"1965","8375793.0"
"1966","8651164.0"
"1967","8947404.0"
"1968","9260682.0"
"1969","9585576.0"
"1970","9917983.0"
"1971","10255903.0"
"1972","10599845.0"
"1973","10951166.0"
"1974","11312305.0"
"1975","11684589.0"
"1976","12068168.0"
"1977","12460914.0"
"1978","12859094.0"
"1979","13257799.0"
"1980","13653356.0"
"1981","14046540.0"
"1982","14438309.0"
"1983","14825789.0"
"1984","15205501.0"
"1985","15576395.0"
"1986","15936375.0"
"1987","16290149.0"
"1988","16651807.0"
"1989","17040190.0"
"1990","17469005.0"
"1991","17942715.0"
"1992","18458187.0"
"1993","19011917.0"
"1994","19597239.0"
"1995","20208387.0"
"1996","20845893.0"
"1997","21509291.0"
"1998","22190250.0"
"1999","22878156.0"
"2000","23565413.0"
"2001","24251649.0"
"2002","24939299.0"
"2003","25627626.0"
"2004","26316609.0"
"2005","27008426.0"
"2006","27697912.0"
"2007","28390433.0"
"2008","29111417.0"
"2009","29894652.0"
"2010","30762701.0"
"2011","31727053.0"
"2012","32776571.0"
"2013","33883145.0"
"2014","35006080.0"
"2015","36115649.0"
"2016","37202572.0"
