"Year","Value"
"1960","2828600.0"
"1961","2824400.0"
"1962","2836050.0"
"1963","2852650.0"
"1964","2866550.0"
"1965","2877300.0"
"1966","2888800.0"
"1967","2902450.0"
"1968","2915550.0"
"1969","2932650.0"
"1970","2957250.0"
"1971","2992050.0"
"1972","3036850.0"
"1973","3085950.0"
"1974","3137500.0"
"1975","3189550.0"
"1976","3238050.0"
"1977","3282200.0"
"1978","3329100.0"
"1979","3373750.0"
"1980","3412800.0"
"1981","3453000.0"
"1982","3485800.0"
"1983","3510600.0"
"1984","3532423.0"
"1985","3538082.0"
"1986","3539690.0"
"1987","3540057.0"
"1988","3524949.0"
"1989","3511009.0"
"1990","3513974.0"
"1991","3534235.0"
"1992","3558430.0"
"1993","3576261.0"
"1994","3590386.0"
"1995","3608841.0"
"1996","3637510.0"
"1997","3674171.0"
"1998","3712696.0"
"1999","3754786.0"
"2000","3805174.0"
"2001","3866243.0"
"2002","3931947.0"
"2003","3996521.0"
"2004","4070262.0"
"2005","4159914.0"
"2006","4273591.0"
"2007","4398942.0"
"2008","4489544.0"
"2009","4535375.0"
"2010","4560155.0"
"2011","4576794.0"
"2012","4586897.0"
"2013","4598294.0"
"2014","4617225.0"
"2015","4676835.0"
"2016","4773095.0"
