"Country Name","Country Code","Year","Value"
"Isle of Man","IMN","1960","48442"
"Isle of Man","IMN","1961","48281"
"Isle of Man","IMN","1962","48418"
"Isle of Man","IMN","1963","48800"
"Isle of Man","IMN","1964","49391"
"Isle of Man","IMN","1965","50141"
"Isle of Man","IMN","1966","51049"
"Isle of Man","IMN","1967","52118"
"Isle of Man","IMN","1968","53254"
"Isle of Man","IMN","1969","54376"
"Isle of Man","IMN","1970","55425"
"Isle of Man","IMN","1971","56352"
"Isle of Man","IMN","1972","57154"
"Isle of Man","IMN","1973","57900"
"Isle of Man","IMN","1974","58655"
"Isle of Man","IMN","1975","59478"
"Isle of Man","IMN","1976","60428"
"Isle of Man","IMN","1977","61443"
"Isle of Man","IMN","1978","62406"
"Isle of Man","IMN","1979","63151"
"Isle of Man","IMN","1980","63551"
"Isle of Man","IMN","1981","63540"
"Isle of Man","IMN","1982","63191"
"Isle of Man","IMN","1983","62730"
"Isle of Man","IMN","1984","62487"
"Isle of Man","IMN","1985","62696"
"Isle of Man","IMN","1986","63441"
"Isle of Man","IMN","1987","64630"
"Isle of Man","IMN","1988","66047"
"Isle of Man","IMN","1989","67388"
"Isle of Man","IMN","1990","68429"
"Isle of Man","IMN","1991","69096"
"Isle of Man","IMN","1992","69475"
"Isle of Man","IMN","1993","69656"
"Isle of Man","IMN","1994","69818"
"Isle of Man","IMN","1995","70070"
"Isle of Man","IMN","1996","70431"
"Isle of Man","IMN","1997","70869"
"Isle of Man","IMN","1998","71390"
"Isle of Man","IMN","1999","71952"
"Isle of Man","IMN","2000","72554"
"Isle of Man","IMN","2001","73192"
"Isle of Man","IMN","2002","73870"
"Isle of Man","IMN","2003","74587"
"Isle of Man","IMN","2004","75341"
"Isle of Man","IMN","2005","76118"
"Isle of Man","IMN","2006","76914"
"Isle of Man","IMN","2007","77727"
"Isle of Man","IMN","2008","78534"
"Isle of Man","IMN","2009","79325"
"Isle of Man","IMN","2010","80072"
"Isle of Man","IMN","2011","80759"
"Isle of Man","IMN","2012","81406"
"Isle of Man","IMN","2013","82013"
"Isle of Man","IMN","2014","82590"
"Isle of Man","IMN","2015","83167"
"Isle of Man","IMN","2016","83737"
