"Country Name","Country Code","Year","Value"
"Israel","ISR","1960","2114020"
"Israel","ISR","1961","2185000"
"Israel","ISR","1962","2293000"
"Israel","ISR","1963","2379000"
"Israel","ISR","1964","2475000"
"Israel","ISR","1965","2563000"
"Israel","ISR","1966","2629000"
"Israel","ISR","1967","2745000"
"Israel","ISR","1968","2803000"
"Israel","ISR","1969","2877000"
"Israel","ISR","1970","2974000"
"Israel","ISR","1971","3069000"
"Israel","ISR","1972","3148000"
"Israel","ISR","1973","3278000"
"Israel","ISR","1974","3377000"
"Israel","ISR","1975","3455000"
"Israel","ISR","1976","3533000"
"Israel","ISR","1977","3613000"
"Israel","ISR","1978","3690000"
"Israel","ISR","1979","3786000"
"Israel","ISR","1980","3878000"
"Israel","ISR","1981","3956000"
"Israel","ISR","1982","4031000"
"Israel","ISR","1983","4105000"
"Israel","ISR","1984","4159000"
"Israel","ISR","1985","4233000"
"Israel","ISR","1986","4299000"
"Israel","ISR","1987","4369000"
"Israel","ISR","1988","4442000"
"Israel","ISR","1989","4518000"
"Israel","ISR","1990","4660000"
"Israel","ISR","1991","4949000"
"Israel","ISR","1992","5123000"
"Israel","ISR","1993","5261000"
"Israel","ISR","1994","5399000"
"Israel","ISR","1995","5545000"
"Israel","ISR","1996","5692000"
"Israel","ISR","1997","5836000"
"Israel","ISR","1998","5971000"
"Israel","ISR","1999","6125000"
"Israel","ISR","2000","6289000"
"Israel","ISR","2001","6439000"
"Israel","ISR","2002","6570000"
"Israel","ISR","2003","6689700"
"Israel","ISR","2004","6809000"
"Israel","ISR","2005","6930100"
"Israel","ISR","2006","7053700"
"Israel","ISR","2007","7180100"
"Israel","ISR","2008","7308800"
"Israel","ISR","2009","7485600"
"Israel","ISR","2010","7623600"
"Israel","ISR","2011","7765800"
"Israel","ISR","2012","7910500"
"Israel","ISR","2013","8059500"
"Israel","ISR","2014","8215700"
"Israel","ISR","2015","8380100"
"Israel","ISR","2016","8547100"
