"Country Name","Country Code","Year","Value"
"Italy","ITA","1960","50199700"
"Italy","ITA","1961","50536350"
"Italy","ITA","1962","50879450"
"Italy","ITA","1963","51252000"
"Italy","ITA","1964","51675350"
"Italy","ITA","1965","52112350"
"Italy","ITA","1966","52519000"
"Italy","ITA","1967","52900500"
"Italy","ITA","1968","53235750"
"Italy","ITA","1969","53537950"
"Italy","ITA","1970","53821850"
"Italy","ITA","1971","54073490"
"Italy","ITA","1972","54381345"
"Italy","ITA","1973","54751406"
"Italy","ITA","1974","55110868"
"Italy","ITA","1975","55441001"
"Italy","ITA","1976","55718260"
"Italy","ITA","1977","55955411"
"Italy","ITA","1978","56155143"
"Italy","ITA","1979","56317749"
"Italy","ITA","1980","56433883"
"Italy","ITA","1981","56501675"
"Italy","ITA","1982","56543548"
"Italy","ITA","1983","56564074"
"Italy","ITA","1984","56576718"
"Italy","ITA","1985","56593071"
"Italy","ITA","1986","56596155"
"Italy","ITA","1987","56601931"
"Italy","ITA","1988","56629288"
"Italy","ITA","1989","56671781"
"Italy","ITA","1990","56719240"
"Italy","ITA","1991","56758521"
"Italy","ITA","1992","56797087"
"Italy","ITA","1993","56831821"
"Italy","ITA","1994","56843400"
"Italy","ITA","1995","56844303"
"Italy","ITA","1996","56860281"
"Italy","ITA","1997","56890372"
"Italy","ITA","1998","56906744"
"Italy","ITA","1999","56916317"
"Italy","ITA","2000","56942108"
"Italy","ITA","2001","56974100"
"Italy","ITA","2002","57059007"
"Italy","ITA","2003","57313203"
"Italy","ITA","2004","57685327"
"Italy","ITA","2005","57969484"
"Italy","ITA","2006","58143979"
"Italy","ITA","2007","58438310"
"Italy","ITA","2008","58826731"
"Italy","ITA","2009","59095365"
"Italy","ITA","2010","59277417"
"Italy","ITA","2011","59379449"
"Italy","ITA","2012","59539717"
"Italy","ITA","2013","60233948"
"Italy","ITA","2014","60789140"
"Italy","ITA","2015","60730582"
"Italy","ITA","2016","60600590"
