"Country Name","Country Code","Year","Value"
"Jordan","JOR","1960","932257"
"Jordan","JOR","1961","973083"
"Jordan","JOR","1962","1009733"
"Jordan","JOR","1963","1049302"
"Jordan","JOR","1964","1101459"
"Jordan","JOR","1965","1172550"
"Jordan","JOR","1966","1265806"
"Jordan","JOR","1967","1377465"
"Jordan","JOR","1968","1498309"
"Jordan","JOR","1969","1615277"
"Jordan","JOR","1970","1718913"
"Jordan","JOR","1971","1806605"
"Jordan","JOR","1972","1881214"
"Jordan","JOR","1973","1945626"
"Jordan","JOR","1974","2004833"
"Jordan","JOR","1975","2062918"
"Jordan","JOR","1976","2120069"
"Jordan","JOR","1977","2176135"
"Jordan","JOR","1978","2234594"
"Jordan","JOR","1979","2299655"
"Jordan","JOR","1980","2374422"
"Jordan","JOR","1981","2461193"
"Jordan","JOR","1982","2559718"
"Jordan","JOR","1983","2667470"
"Jordan","JOR","1984","2780428"
"Jordan","JOR","1985","2895985"
"Jordan","JOR","1986","3011300"
"Jordan","JOR","1987","3127917"
"Jordan","JOR","1988","3252672"
"Jordan","JOR","1989","3395023"
"Jordan","JOR","1990","3560582"
"Jordan","JOR","1991","3753433"
"Jordan","JOR","1992","3968198"
"Jordan","JOR","1993","4189431"
"Jordan","JOR","1994","4395953"
"Jordan","JOR","1995","4572904"
"Jordan","JOR","1996","4716373"
"Jordan","JOR","1997","4832267"
"Jordan","JOR","1998","4927912"
"Jordan","JOR","1999","5014899"
"Jordan","JOR","2000","5103130"
"Jordan","JOR","2001","5193482"
"Jordan","JOR","2002","5287488"
"Jordan","JOR","2003","5396774"
"Jordan","JOR","2004","5535595"
"Jordan","JOR","2005","5714111"
"Jordan","JOR","2006","5934232"
"Jordan","JOR","2007","6193191"
"Jordan","JOR","2008","6489822"
"Jordan","JOR","2009","6821116"
"Jordan","JOR","2010","7182390"
"Jordan","JOR","2011","7574943"
"Jordan","JOR","2012","7992573"
"Jordan","JOR","2013","8413464"
"Jordan","JOR","2014","8809306"
"Jordan","JOR","2015","9159302"
"Jordan","JOR","2016","9455802"
