"Country Name","Country Code","Year","Value"
"Kazakhstan","KAZ","1960","9714260"
"Kazakhstan","KAZ","1961","10129861"
"Kazakhstan","KAZ","1962","10532062"
"Kazakhstan","KAZ","1963","10913552"
"Kazakhstan","KAZ","1964","11267329"
"Kazakhstan","KAZ","1965","11588870"
"Kazakhstan","KAZ","1966","11872939"
"Kazakhstan","KAZ","1967","12120504"
"Kazakhstan","KAZ","1968","12341412"
"Kazakhstan","KAZ","1969","12550121"
"Kazakhstan","KAZ","1970","12757245"
"Kazakhstan","KAZ","1971","12966920"
"Kazakhstan","KAZ","1972","13176584"
"Kazakhstan","KAZ","1973","13382211"
"Kazakhstan","KAZ","1974","13577049"
"Kazakhstan","KAZ","1975","13756789"
"Kazakhstan","KAZ","1976","13920105"
"Kazakhstan","KAZ","1977","14070681"
"Kazakhstan","KAZ","1978","14215111"
"Kazakhstan","KAZ","1979","14362417"
"Kazakhstan","KAZ","1980","14518924"
"Kazakhstan","KAZ","1981","14683789"
"Kazakhstan","KAZ","1982","14853993"
"Kazakhstan","KAZ","1983","15030495"
"Kazakhstan","KAZ","1984","15214051"
"Kazakhstan","KAZ","1985","15403006"
"Kazakhstan","KAZ","1986","15600928"
"Kazakhstan","KAZ","1987","15801753"
"Kazakhstan","KAZ","1988","15982510"
"Kazakhstan","KAZ","1989","16249500"
"Kazakhstan","KAZ","1990","16348000"
"Kazakhstan","KAZ","1991","16450500"
"Kazakhstan","KAZ","1992","16439095"
"Kazakhstan","KAZ","1993","16330419"
"Kazakhstan","KAZ","1994","16095199"
"Kazakhstan","KAZ","1995","15815626"
"Kazakhstan","KAZ","1996","15577894"
"Kazakhstan","KAZ","1997","15333703"
"Kazakhstan","KAZ","1998","15071300"
"Kazakhstan","KAZ","1999","14928426"
"Kazakhstan","KAZ","2000","14883626"
"Kazakhstan","KAZ","2001","14858335"
"Kazakhstan","KAZ","2002","14858948"
"Kazakhstan","KAZ","2003","14909018"
"Kazakhstan","KAZ","2004","15012985"
"Kazakhstan","KAZ","2005","15147029"
"Kazakhstan","KAZ","2006","15308084"
"Kazakhstan","KAZ","2007","15484192"
"Kazakhstan","KAZ","2008","15674000"
"Kazakhstan","KAZ","2009","16092701"
"Kazakhstan","KAZ","2010","16321581"
"Kazakhstan","KAZ","2011","16556600"
"Kazakhstan","KAZ","2012","16791425"
"Kazakhstan","KAZ","2013","17035275"
"Kazakhstan","KAZ","2014","17289224"
"Kazakhstan","KAZ","2015","17544126"
"Kazakhstan","KAZ","2016","17797032"
