"Country Name","Country Code","Year","Value"
"Kenya","KEN","1960","8105440"
"Kenya","KEN","1961","8361441"
"Kenya","KEN","1962","8628972"
"Kenya","KEN","1963","8908422"
"Kenya","KEN","1964","9200157"
"Kenya","KEN","1965","9504703"
"Kenya","KEN","1966","9822499"
"Kenya","KEN","1967","10154484"
"Kenya","KEN","1968","10502245"
"Kenya","KEN","1969","10867716"
"Kenya","KEN","1970","11252492"
"Kenya","KEN","1971","11657514"
"Kenya","KEN","1972","12083188"
"Kenya","KEN","1973","12529852"
"Kenya","KEN","1974","12997595"
"Kenya","KEN","1975","13486629"
"Kenya","KEN","1976","13996704"
"Kenya","KEN","1977","14528293"
"Kenya","KEN","1978","15082994"
"Kenya","KEN","1979","15662852"
"Kenya","KEN","1980","16268990"
"Kenya","KEN","1981","16901677"
"Kenya","KEN","1982","17559430"
"Kenya","KEN","1983","18239404"
"Kenya","KEN","1984","18937738"
"Kenya","KEN","1985","19651225"
"Kenya","KEN","1986","20378626"
"Kenya","KEN","1987","21119318"
"Kenya","KEN","1988","21871442"
"Kenya","KEN","1989","22633022"
"Kenya","KEN","1990","23402507"
"Kenya","KEN","1991","24179598"
"Kenya","KEN","1992","24963953"
"Kenya","KEN","1993","25754114"
"Kenya","KEN","1994","26548486"
"Kenya","KEN","1995","27346456"
"Kenya","KEN","1996","28147734"
"Kenya","KEN","1997","28954114"
"Kenya","KEN","1998","29769803"
"Kenya","KEN","1999","30600397"
"Kenya","KEN","2000","31450483"
"Kenya","KEN","2001","32321482"
"Kenya","KEN","2002","33214009"
"Kenya","KEN","2003","34130852"
"Kenya","KEN","2004","35074931"
"Kenya","KEN","2005","36048288"
"Kenya","KEN","2006","37052050"
"Kenya","KEN","2007","38085909"
"Kenya","KEN","2008","39148416"
"Kenya","KEN","2009","40237204"
"Kenya","KEN","2010","41350152"
"Kenya","KEN","2011","42486839"
"Kenya","KEN","2012","43646629"
"Kenya","KEN","2013","44826849"
"Kenya","KEN","2014","46024250"
"Kenya","KEN","2015","47236259"
"Kenya","KEN","2016","48461567"
