"Country Name","Country Code","Year","Value"
"Kiribati","KIR","1960","41233"
"Kiribati","KIR","1961","42257"
"Kiribati","KIR","1962","43302"
"Kiribati","KIR","1963","44363"
"Kiribati","KIR","1964","45425"
"Kiribati","KIR","1965","46453"
"Kiribati","KIR","1966","47459"
"Kiribati","KIR","1967","48437"
"Kiribati","KIR","1968","49388"
"Kiribati","KIR","1969","50294"
"Kiribati","KIR","1970","51178"
"Kiribati","KIR","1971","52025"
"Kiribati","KIR","1972","52824"
"Kiribati","KIR","1973","53604"
"Kiribati","KIR","1974","54380"
"Kiribati","KIR","1975","55169"
"Kiribati","KIR","1976","55977"
"Kiribati","KIR","1977","56810"
"Kiribati","KIR","1978","57662"
"Kiribati","KIR","1979","58506"
"Kiribati","KIR","1980","59339"
"Kiribati","KIR","1981","60133"
"Kiribati","KIR","1982","60920"
"Kiribati","KIR","1983","61768"
"Kiribati","KIR","1984","62765"
"Kiribati","KIR","1985","64003"
"Kiribati","KIR","1986","65518"
"Kiribati","KIR","1987","67261"
"Kiribati","KIR","1988","69098"
"Kiribati","KIR","1989","70860"
"Kiribati","KIR","1990","72412"
"Kiribati","KIR","1991","73700"
"Kiribati","KIR","1992","74769"
"Kiribati","KIR","1993","75719"
"Kiribati","KIR","1994","76671"
"Kiribati","KIR","1995","77730"
"Kiribati","KIR","1996","78907"
"Kiribati","KIR","1997","80184"
"Kiribati","KIR","1998","81550"
"Kiribati","KIR","1999","82966"
"Kiribati","KIR","2000","84406"
"Kiribati","KIR","2001","85858"
"Kiribati","KIR","2002","87343"
"Kiribati","KIR","2003","88895"
"Kiribati","KIR","2004","90542"
"Kiribati","KIR","2005","92325"
"Kiribati","KIR","2006","94260"
"Kiribati","KIR","2007","96311"
"Kiribati","KIR","2008","98440"
"Kiribati","KIR","2009","100568"
"Kiribati","KIR","2010","102652"
"Kiribati","KIR","2011","104656"
"Kiribati","KIR","2012","106613"
"Kiribati","KIR","2013","108535"
"Kiribati","KIR","2014","110458"
"Kiribati","KIR","2015","112407"
"Kiribati","KIR","2016","114395"
