"Country Name","Country Code","Year","Value"
"Kosovo","XKX","1960","947000"
"Kosovo","XKX","1961","966000"
"Kosovo","XKX","1962","994000"
"Kosovo","XKX","1963","1022000"
"Kosovo","XKX","1964","1050000"
"Kosovo","XKX","1965","1078000"
"Kosovo","XKX","1966","1106000"
"Kosovo","XKX","1967","1135000"
"Kosovo","XKX","1968","1163000"
"Kosovo","XKX","1969","1191000"
"Kosovo","XKX","1970","1219000"
"Kosovo","XKX","1971","1247000"
"Kosovo","XKX","1972","1278000"
"Kosovo","XKX","1973","1308000"
"Kosovo","XKX","1974","1339000"
"Kosovo","XKX","1975","1369000"
"Kosovo","XKX","1976","1400000"
"Kosovo","XKX","1977","1430000"
"Kosovo","XKX","1978","1460000"
"Kosovo","XKX","1979","1491000"
"Kosovo","XKX","1980","1521000"
"Kosovo","XKX","1981","1552000"
"Kosovo","XKX","1982","1582000"
"Kosovo","XKX","1983","1614000"
"Kosovo","XKX","1984","1647000"
"Kosovo","XKX","1985","1682000"
"Kosovo","XKX","1986","1717000"
"Kosovo","XKX","1987","1753000"
"Kosovo","XKX","1988","1791000"
"Kosovo","XKX","1989","1827000"
"Kosovo","XKX","1990","1862000"
"Kosovo","XKX","1991","1898000"
"Kosovo","XKX","1992","1932000"
"Kosovo","XKX","1993","1965000"
"Kosovo","XKX","1994","1997000"
"Kosovo","XKX","1995","2029000"
"Kosovo","XKX","1996","2059000"
"Kosovo","XKX","1997","2086000"
"Kosovo","XKX","1998","1966000"
"Kosovo","XKX","1999","1762000"
"Kosovo","XKX","2000","1700000"
"Kosovo","XKX","2001","1701154"
"Kosovo","XKX","2002","1702310"
"Kosovo","XKX","2003","1703466"
"Kosovo","XKX","2004","1704622"
"Kosovo","XKX","2005","1705780"
"Kosovo","XKX","2006","1719536"
"Kosovo","XKX","2007","1733404"
"Kosovo","XKX","2008","1747383"
"Kosovo","XKX","2009","1761474"
"Kosovo","XKX","2010","1775680"
"Kosovo","XKX","2011","1791000"
"Kosovo","XKX","2012","1805200"
"Kosovo","XKX","2013","1824100"
"Kosovo","XKX","2014","1821800"
"Kosovo","XKX","2015","1801800"
"Kosovo","XKX","2016","1816200"
