"Country Name","Country Code","Year","Value"
"Kuwait","KWT","1960","269618"
"Kuwait","KWT","1961","301336"
"Kuwait","KWT","1962","338296"
"Kuwait","KWT","1963","379891"
"Kuwait","KWT","1964","425235"
"Kuwait","KWT","1965","473554"
"Kuwait","KWT","1966","524856"
"Kuwait","KWT","1967","579007"
"Kuwait","KWT","1968","634897"
"Kuwait","KWT","1969","691129"
"Kuwait","KWT","1970","746767"
"Kuwait","KWT","1971","801142"
"Kuwait","KWT","1972","854604"
"Kuwait","KWT","1973","908520"
"Kuwait","KWT","1974","964834"
"Kuwait","KWT","1975","1024940"
"Kuwait","KWT","1976","1089209"
"Kuwait","KWT","1977","1157033"
"Kuwait","KWT","1978","1227601"
"Kuwait","KWT","1979","1299683"
"Kuwait","KWT","1980","1372318"
"Kuwait","KWT","1981","1442991"
"Kuwait","KWT","1982","1511314"
"Kuwait","KWT","1983","1580638"
"Kuwait","KWT","1984","1655833"
"Kuwait","KWT","1985","1738994"
"Kuwait","KWT","1986","1836105"
"Kuwait","KWT","1987","1942810"
"Kuwait","KWT","1988","2038885"
"Kuwait","KWT","1989","2096932"
"Kuwait","KWT","1990","2099615"
"Kuwait","KWT","1991","2035661"
"Kuwait","KWT","1995","1610651"
"Kuwait","KWT","1996","1631740"
"Kuwait","KWT","1997","1715314"
"Kuwait","KWT","1998","1836353"
"Kuwait","KWT","1999","1957066"
"Kuwait","KWT","2000","2050741"
"Kuwait","KWT","2001","2109355"
"Kuwait","KWT","2002","2143833"
"Kuwait","KWT","2003","2169118"
"Kuwait","KWT","2004","2207939"
"Kuwait","KWT","2005","2276623"
"Kuwait","KWT","2006","2377258"
"Kuwait","KWT","2007","2503410"
"Kuwait","KWT","2008","2652340"
"Kuwait","KWT","2009","2818939"
"Kuwait","KWT","2010","2998083"
"Kuwait","KWT","2011","3191051"
"Kuwait","KWT","2012","3395556"
"Kuwait","KWT","2013","3598385"
"Kuwait","KWT","2014","3782450"
"Kuwait","KWT","2015","3935794"
"Kuwait","KWT","2016","4052584"
