"Country Name","Country Code","Year","Value"
"Kyrgyz Republic","KGZ","1960","2172300"
"Kyrgyz Republic","KGZ","1961","2255900"
"Kyrgyz Republic","KGZ","1962","2333400"
"Kyrgyz Republic","KGZ","1963","2413700"
"Kyrgyz Republic","KGZ","1964","2495300"
"Kyrgyz Republic","KGZ","1965","2573300"
"Kyrgyz Republic","KGZ","1966","2655300"
"Kyrgyz Republic","KGZ","1967","2736500"
"Kyrgyz Republic","KGZ","1968","2818300"
"Kyrgyz Republic","KGZ","1969","2894800"
"Kyrgyz Republic","KGZ","1970","2959900"
"Kyrgyz Republic","KGZ","1971","3022300"
"Kyrgyz Republic","KGZ","1972","3088200"
"Kyrgyz Republic","KGZ","1973","3153800"
"Kyrgyz Republic","KGZ","1974","3223900"
"Kyrgyz Republic","KGZ","1975","3292400"
"Kyrgyz Republic","KGZ","1976","3358700"
"Kyrgyz Republic","KGZ","1977","3423900"
"Kyrgyz Republic","KGZ","1978","3487100"
"Kyrgyz Republic","KGZ","1979","3552000"
"Kyrgyz Republic","KGZ","1980","3617400"
"Kyrgyz Republic","KGZ","1981","3685800"
"Kyrgyz Republic","KGZ","1982","3759300"
"Kyrgyz Republic","KGZ","1983","3838300"
"Kyrgyz Republic","KGZ","1984","3916400"
"Kyrgyz Republic","KGZ","1985","3990300"
"Kyrgyz Republic","KGZ","1986","4066500"
"Kyrgyz Republic","KGZ","1987","4144600"
"Kyrgyz Republic","KGZ","1988","4218400"
"Kyrgyz Republic","KGZ","1989","4307500"
"Kyrgyz Republic","KGZ","1990","4391200"
"Kyrgyz Republic","KGZ","1991","4463600"
"Kyrgyz Republic","KGZ","1992","4515400"
"Kyrgyz Republic","KGZ","1993","4516700"
"Kyrgyz Republic","KGZ","1994","4515100"
"Kyrgyz Republic","KGZ","1995","4560400"
"Kyrgyz Republic","KGZ","1996","4628400"
"Kyrgyz Republic","KGZ","1997","4696400"
"Kyrgyz Republic","KGZ","1998","4769000"
"Kyrgyz Republic","KGZ","1999","4840400"
"Kyrgyz Republic","KGZ","2000","4898400"
"Kyrgyz Republic","KGZ","2001","4945100"
"Kyrgyz Republic","KGZ","2002","4990700"
"Kyrgyz Republic","KGZ","2003","5043300"
"Kyrgyz Republic","KGZ","2004","5104700"
"Kyrgyz Republic","KGZ","2005","5162600"
"Kyrgyz Republic","KGZ","2006","5218400"
"Kyrgyz Republic","KGZ","2007","5268400"
"Kyrgyz Republic","KGZ","2008","5318700"
"Kyrgyz Republic","KGZ","2009","5383300"
"Kyrgyz Republic","KGZ","2010","5447900"
"Kyrgyz Republic","KGZ","2011","5514600"
"Kyrgyz Republic","KGZ","2012","5607200"
"Kyrgyz Republic","KGZ","2013","5719600"
"Kyrgyz Republic","KGZ","2014","5835500"
"Kyrgyz Republic","KGZ","2015","5956900"
"Kyrgyz Republic","KGZ","2016","6082700"
