"Year","Value"
"1960","206288466.0"
"1961","212141158.0"
"1962","218187764.0"
"1963","224397456.0"
"1964","230726737.0"
"1965","237143034.0"
"1966","243633320.0"
"1967","250203252.0"
"1968","256861866.0"
"1969","263625974.0"
"1970","270506235.0"
"1971","277502867.0"
"1972","284605846.0"
"1973","291803994.0"
"1974","299082201.0"
"1975","306429011.0"
"1976","313835275.0"
"1977","321300608.0"
"1978","328832663.0"
"1979","336443919.0"
"1980","344140576.0"
"1981","351924309.0"
"1982","359782679.0"
"1983","367690458.0"
"1984","375614401.0"
"1985","383529486.0"
"1986","391419929.0"
"1987","399287449.0"
"1988","407145597.0"
"1989","415016911.0"
"1990","422914642.0"
"1991","430838594.0"
"1992","438771695.0"
"1993","446689943.0"
"1994","454561464.0"
"1995","462360574.0"
"1996","470084837.0"
"1997","477732904.0"
"1998","485282781.0"
"1999","492708788.0"
"2000","499996505.0"
"2001","507131154.0"
"2002","514126613.0"
"2003","521033040.0"
"2004","527919692.0"
"2005","534836570.0"
"2006","541798268.0"
"2007","548789887.0"
"2008","555795034.0"
"2009","562785589.0"
"2010","569737872.0"
"2011","576648286.0"
"2012","583515410.0"
"2013","590319145.0"
"2014","597035363.0"
"2015","603644865.0"
"2016","610136397.0"
