"Year","Value"
"1960","220434162.0"
"1961","226564269.0"
"1962","232898623.0"
"1963","239400168.0"
"1964","246016868.0"
"1965","252710810.0"
"1966","259469769.0"
"1967","266297580.0"
"1968","273207936.0"
"1969","280224095.0"
"1970","287360913.0"
"1971","294620200.0"
"1972","301984111.0"
"1973","309446838.0"
"1974","316987705.0"
"1975","324590353.0"
"1976","332247634.0"
"1977","339956216.0"
"1978","347735376.0"
"1979","355592928.0"
"1980","363540795.0"
"1981","371579141.0"
"1982","379699615.0"
"1983","387871825.0"
"1984","396066751.0"
"1985","404253008.0"
"1986","412419260.0"
"1987","420565926.0"
"1988","428704815.0"
"1989","436859090.0"
"1990","445044474.0"
"1991","453251622.0"
"1992","461466818.0"
"1993","469673464.0"
"1994","477832466.0"
"1995","485913137.0"
"1996","493920486.0"
"1997","501837818.0"
"1998","509664955.0"
"1999","517324341.0"
"2000","524829248.0"
"2001","532173135.0"
"2002","539373531.0"
"2003","546480559.0"
"2004","553565401.0"
"2005","560677294.0"
"2006","567825874.0"
"2007","574999132.0"
"2008","582185012.0"
"2009","589352524.0"
"2010","596477846.0"
"2011","603534610.0"
"2012","610545003.0"
"2013","617492351.0"
"2014","624331830.0"
"2015","631058524.0"
"2016","637664490.0"
