"Country Name","Country Code","Year","Value"
"Least developed countries: UN classification","LDC","1960","240742196"
"Least developed countries: UN classification","LDC","1961","246406470"
"Least developed countries: UN classification","LDC","1962","252264341"
"Least developed countries: UN classification","LDC","1963","258352723"
"Least developed countries: UN classification","LDC","1964","264721836"
"Least developed countries: UN classification","LDC","1965","271400502"
"Least developed countries: UN classification","LDC","1966","278419926"
"Least developed countries: UN classification","LDC","1967","285751541"
"Least developed countries: UN classification","LDC","1968","293292818"
"Least developed countries: UN classification","LDC","1969","300902584"
"Least developed countries: UN classification","LDC","1970","308486373"
"Least developed countries: UN classification","LDC","1971","316004632"
"Least developed countries: UN classification","LDC","1972","323506502"
"Least developed countries: UN classification","LDC","1973","331095229"
"Least developed countries: UN classification","LDC","1974","338920295"
"Least developed countries: UN classification","LDC","1975","347093126"
"Least developed countries: UN classification","LDC","1976","355653610"
"Least developed countries: UN classification","LDC","1977","364581154"
"Least developed countries: UN classification","LDC","1978","373854416"
"Least developed countries: UN classification","LDC","1979","383429856"
"Least developed countries: UN classification","LDC","1980","393279303"
"Least developed countries: UN classification","LDC","1981","403408681"
"Least developed countries: UN classification","LDC","1982","413846599"
"Least developed countries: UN classification","LDC","1983","424613917"
"Least developed countries: UN classification","LDC","1984","435737690"
"Least developed countries: UN classification","LDC","1985","447240981"
"Least developed countries: UN classification","LDC","1986","459115735"
"Least developed countries: UN classification","LDC","1987","471364938"
"Least developed countries: UN classification","LDC","1988","484033065"
"Least developed countries: UN classification","LDC","1989","497176877"
"Least developed countries: UN classification","LDC","1990","510827576"
"Least developed countries: UN classification","LDC","1991","525020368"
"Least developed countries: UN classification","LDC","1992","539720450"
"Least developed countries: UN classification","LDC","1993","554804181"
"Least developed countries: UN classification","LDC","1994","570101958"
"Least developed countries: UN classification","LDC","1995","585496175"
"Least developed countries: UN classification","LDC","1996","600926162"
"Least developed countries: UN classification","LDC","1997","616437048"
"Least developed countries: UN classification","LDC","1998","632146821"
"Least developed countries: UN classification","LDC","1999","648229112"
"Least developed countries: UN classification","LDC","2000","664804763"
"Least developed countries: UN classification","LDC","2001","681932226"
"Least developed countries: UN classification","LDC","2002","699560739"
"Least developed countries: UN classification","LDC","2003","717572892"
"Least developed countries: UN classification","LDC","2004","735796583"
"Least developed countries: UN classification","LDC","2005","754118072"
"Least developed countries: UN classification","LDC","2006","772488966"
"Least developed countries: UN classification","LDC","2007","790978141"
"Least developed countries: UN classification","LDC","2008","809730997"
"Least developed countries: UN classification","LDC","2009","828953320"
"Least developed countries: UN classification","LDC","2010","848791962"
"Least developed countries: UN classification","LDC","2011","869298106"
"Least developed countries: UN classification","LDC","2012","890423474"
"Least developed countries: UN classification","LDC","2013","912093996"
"Least developed countries: UN classification","LDC","2014","934192321"
"Least developed countries: UN classification","LDC","2015","956631108"
"Least developed countries: UN classification","LDC","2016","979387925"
