"Country Name","Country Code","Year","Value"
"Liberia","LBR","1960","1120313"
"Liberia","LBR","1961","1144986"
"Liberia","LBR","1962","1170480"
"Liberia","LBR","1963","1196890"
"Liberia","LBR","1964","1224344"
"Liberia","LBR","1965","1252972"
"Liberia","LBR","1966","1282814"
"Liberia","LBR","1967","1313941"
"Liberia","LBR","1968","1346491"
"Liberia","LBR","1969","1380637"
"Liberia","LBR","1970","1416529"
"Liberia","LBR","1971","1454198"
"Liberia","LBR","1972","1493711"
"Liberia","LBR","1973","1535229"
"Liberia","LBR","1974","1578952"
"Liberia","LBR","1975","1625013"
"Liberia","LBR","1976","1672300"
"Liberia","LBR","1977","1720489"
"Liberia","LBR","1978","1771256"
"Liberia","LBR","1979","1826881"
"Liberia","LBR","1980","1888314"
"Liberia","LBR","1981","1957456"
"Liberia","LBR","1982","2031850"
"Liberia","LBR","1983","2102911"
"Liberia","LBR","1984","2159089"
"Liberia","LBR","1985","2192555"
"Liberia","LBR","1986","2201833"
"Liberia","LBR","1987","2191023"
"Liberia","LBR","1988","2165090"
"Liberia","LBR","1989","2131525"
"Liberia","LBR","1990","2097232"
"Liberia","LBR","1991","2060267"
"Liberia","LBR","1992","2022729"
"Liberia","LBR","1993","2000248"
"Liberia","LBR","1994","2012885"
"Liberia","LBR","1995","2073482"
"Liberia","LBR","1996","2191179"
"Liberia","LBR","1997","2358469"
"Liberia","LBR","1998","2551062"
"Liberia","LBR","1999","2734518"
"Liberia","LBR","2000","2884522"
"Liberia","LBR","2001","2991132"
"Liberia","LBR","2002","3062863"
"Liberia","LBR","2003","3116233"
"Liberia","LBR","2004","3176414"
"Liberia","LBR","2005","3261230"
"Liberia","LBR","2006","3375838"
"Liberia","LBR","2007","3512932"
"Liberia","LBR","2008","3662993"
"Liberia","LBR","2009","3811528"
"Liberia","LBR","2010","3948125"
"Liberia","LBR","2011","4070167"
"Liberia","LBR","2012","4181563"
"Liberia","LBR","2013","4286291"
"Liberia","LBR","2014","4390737"
"Liberia","LBR","2015","4499621"
"Liberia","LBR","2016","4613823"
