"Country Name","Country Code","Year","Value"
"Liechtenstein","LIE","1960","16495"
"Liechtenstein","LIE","1961","16894"
"Liechtenstein","LIE","1962","17290"
"Liechtenstein","LIE","1963","17718"
"Liechtenstein","LIE","1964","18170"
"Liechtenstein","LIE","1965","18649"
"Liechtenstein","LIE","1966","19153"
"Liechtenstein","LIE","1967","19691"
"Liechtenstein","LIE","1968","20236"
"Liechtenstein","LIE","1969","20765"
"Liechtenstein","LIE","1970","21265"
"Liechtenstein","LIE","1971","21726"
"Liechtenstein","LIE","1972","22151"
"Liechtenstein","LIE","1973","22563"
"Liechtenstein","LIE","1974","22981"
"Liechtenstein","LIE","1975","23432"
"Liechtenstein","LIE","1976","23926"
"Liechtenstein","LIE","1977","24440"
"Liechtenstein","LIE","1978","24962"
"Liechtenstein","LIE","1979","25447"
"Liechtenstein","LIE","1980","25866"
"Liechtenstein","LIE","1981","26224"
"Liechtenstein","LIE","1982","26515"
"Liechtenstein","LIE","1983","26765"
"Liechtenstein","LIE","1984","27011"
"Liechtenstein","LIE","1985","27257"
"Liechtenstein","LIE","1986","27524"
"Liechtenstein","LIE","1987","27802"
"Liechtenstein","LIE","1988","28095"
"Liechtenstein","LIE","1989","28407"
"Liechtenstein","LIE","1990","28747"
"Liechtenstein","LIE","1991","29108"
"Liechtenstein","LIE","1992","29497"
"Liechtenstein","LIE","1993","29919"
"Liechtenstein","LIE","1994","30365"
"Liechtenstein","LIE","1995","30833"
"Liechtenstein","LIE","1996","31325"
"Liechtenstein","LIE","1997","31838"
"Liechtenstein","LIE","1998","32355"
"Liechtenstein","LIE","1999","32842"
"Liechtenstein","LIE","2000","33286"
"Liechtenstein","LIE","2001","33671"
"Liechtenstein","LIE","2002","34018"
"Liechtenstein","LIE","2003","34321"
"Liechtenstein","LIE","2004","34596"
"Liechtenstein","LIE","2005","34852"
"Liechtenstein","LIE","2006","35095"
"Liechtenstein","LIE","2007","35322"
"Liechtenstein","LIE","2008","35541"
"Liechtenstein","LIE","2009","35766"
"Liechtenstein","LIE","2010","36003"
"Liechtenstein","LIE","2011","36264"
"Liechtenstein","LIE","2012","36545"
"Liechtenstein","LIE","2013","36834"
"Liechtenstein","LIE","2014","37127"
"Liechtenstein","LIE","2015","37403"
"Liechtenstein","LIE","2016","37666"
