"Country Name","Country Code","Year","Value"
"Lithuania","LTU","1960","2778550"
"Lithuania","LTU","1961","2823550"
"Lithuania","LTU","1962","2863350"
"Lithuania","LTU","1963","2898950"
"Lithuania","LTU","1964","2935200"
"Lithuania","LTU","1965","2971450"
"Lithuania","LTU","1966","3008050"
"Lithuania","LTU","1967","3044400"
"Lithuania","LTU","1968","3078850"
"Lithuania","LTU","1969","3107321"
"Lithuania","LTU","1970","3139689"
"Lithuania","LTU","1971","3179041"
"Lithuania","LTU","1972","3213622"
"Lithuania","LTU","1973","3244438"
"Lithuania","LTU","1974","3273894"
"Lithuania","LTU","1975","3301652"
"Lithuania","LTU","1976","3328664"
"Lithuania","LTU","1977","3355036"
"Lithuania","LTU","1978","3379514"
"Lithuania","LTU","1979","3397842"
"Lithuania","LTU","1980","3413202"
"Lithuania","LTU","1981","3432947"
"Lithuania","LTU","1982","3457179"
"Lithuania","LTU","1983","3485192"
"Lithuania","LTU","1984","3514205"
"Lithuania","LTU","1985","3544543"
"Lithuania","LTU","1986","3578914"
"Lithuania","LTU","1987","3616367"
"Lithuania","LTU","1988","3655049"
"Lithuania","LTU","1989","3684255"
"Lithuania","LTU","1990","3697838"
"Lithuania","LTU","1991","3704134"
"Lithuania","LTU","1992","3700114"
"Lithuania","LTU","1993","3682613"
"Lithuania","LTU","1994","3657144"
"Lithuania","LTU","1995","3629102"
"Lithuania","LTU","1996","3601613"
"Lithuania","LTU","1997","3575137"
"Lithuania","LTU","1998","3549331"
"Lithuania","LTU","1999","3524238"
"Lithuania","LTU","2000","3499536"
"Lithuania","LTU","2001","3470818"
"Lithuania","LTU","2002","3443067"
"Lithuania","LTU","2003","3415213"
"Lithuania","LTU","2004","3377075"
"Lithuania","LTU","2005","3322528"
"Lithuania","LTU","2006","3269909"
"Lithuania","LTU","2007","3231294"
"Lithuania","LTU","2008","3198231"
"Lithuania","LTU","2009","3162916"
"Lithuania","LTU","2010","3097282"
"Lithuania","LTU","2011","3028115"
"Lithuania","LTU","2012","2987773"
"Lithuania","LTU","2013","2957689"
"Lithuania","LTU","2014","2932367"
"Lithuania","LTU","2015","2904910"
"Lithuania","LTU","2016","2872298"
