"Country Name","Country Code","Year","Value"
"Low income","LIC","1960","154670163"
"Low income","LIC","1961","158069258"
"Low income","LIC","1962","161549718"
"Low income","LIC","1963","165151369"
"Low income","LIC","1964","168931464"
"Low income","LIC","1965","172929952"
"Low income","LIC","1966","177159065"
"Low income","LIC","1967","181601570"
"Low income","LIC","1968","186231925"
"Low income","LIC","1969","191011431"
"Low income","LIC","1970","195910639"
"Low income","LIC","1971","200923157"
"Low income","LIC","1972","206053605"
"Low income","LIC","1973","211296083"
"Low income","LIC","1974","216646371"
"Low income","LIC","1975","222101799"
"Low income","LIC","1976","227669815"
"Low income","LIC","1977","233352815"
"Low income","LIC","1978","239138889"
"Low income","LIC","1979","245012264"
"Low income","LIC","1980","250969220"
"Low income","LIC","1981","257008637"
"Low income","LIC","1982","263158391"
"Low income","LIC","1983","269480791"
"Low income","LIC","1984","276057603"
"Low income","LIC","1985","282952714"
"Low income","LIC","1986","290181431"
"Low income","LIC","1987","297743620"
"Low income","LIC","1988","305666480"
"Low income","LIC","1989","313976444"
"Low income","LIC","1990","322686243"
"Low income","LIC","1991","331828071"
"Low income","LIC","1992","341387303"
"Low income","LIC","1993","351272293"
"Low income","LIC","1994","361356181"
"Low income","LIC","1995","371552946"
"Low income","LIC","1996","381823685"
"Low income","LIC","1997","392209889"
"Low income","LIC","1998","402805256"
"Low income","LIC","1999","413745647"
"Low income","LIC","2000","425129552"
"Low income","LIC","2001","436993814"
"Low income","LIC","2002","449310184"
"Low income","LIC","2003","462034389"
"Low income","LIC","2004","475094388"
"Low income","LIC","2005","488440913"
"Low income","LIC","2006","502059411"
"Low income","LIC","2007","515977457"
"Low income","LIC","2008","530237548"
"Low income","LIC","2009","544900284"
"Low income","LIC","2010","560007444"
"Low income","LIC","2011","575572515"
"Low income","LIC","2012","591576162"
"Low income","LIC","2013","607987351"
"Low income","LIC","2014","624759914"
"Low income","LIC","2015","641858608"
"Low income","LIC","2016","659272676"
