"Year","Value"
"1960","955530364.0"
"1961","977153221.0"
"1962","999510311.0"
"1963","1022440150.0"
"1964","1046222931.0"
"1965","1070587525.0"
"1966","1095615249.0"
"1967","1121291228.0"
"1968","1147654767.0"
"1969","1174659356.0"
"1970","1202337501.0"
"1971","1230618932.0"
"1972","1259606757.0"
"1973","1289405226.0"
"1974","1319989340.0"
"1975","1351448578.0"
"1976","1383765405.0"
"1977","1416926158.0"
"1978","1451030951.0"
"1979","1486206375.0"
"1980","1522455237.0"
"1981","1559578301.0"
"1982","1597742202.0"
"1983","1636777504.0"
"1984","1676491166.0"
"1985","1716719088.0"
"1986","1757496619.0"
"1987","1798719486.0"
"1988","1840232174.0"
"1989","1881932892.0"
"1990","1925379611.0"
"1991","1966936363.0"
"1992","2008612913.0"
"1993","2050156017.0"
"1994","2091318647.0"
"1995","2132343002.0"
"1996","2173450913.0"
"1997","2214623596.0"
"1998","2255687535.0"
"1999","2296629842.0"
"2000","2337778855.0"
"2001","2379053569.0"
"2002","2420369986.0"
"2003","2461865840.0"
"2004","2503542524.0"
"2005","2545319773.0"
"2006","2587214235.0"
"2007","2629277748.0"
"2008","2671499214.0"
"2009","2713862748.0"
"2010","2756602745.0"
"2011","2799383507.0"
"2012","2841934571.0"
"2013","2884574006.0"
"2014","2927194316.0"
"2015","2970020158.0"
"2016","3012923806.0"
