"Country Name","Country Code","Year","Value"
"Macao SAR, China","MAC","1960","167796"
"Macao SAR, China","MAC","1961","170465"
"Macao SAR, China","MAC","1962","176188"
"Macao SAR, China","MAC","1963","184250"
"Macao SAR, China","MAC","1964","193563"
"Macao SAR, China","MAC","1965","203231"
"Macao SAR, China","MAC","1966","213196"
"Macao SAR, China","MAC","1967","223420"
"Macao SAR, China","MAC","1968","233004"
"Macao SAR, China","MAC","1969","240842"
"Macao SAR, China","MAC","1970","246195"
"Macao SAR, China","MAC","1971","248739"
"Macao SAR, China","MAC","1972","248767"
"Macao SAR, China","MAC","1973","246947"
"Macao SAR, China","MAC","1974","244284"
"Macao SAR, China","MAC","1975","241628"
"Macao SAR, China","MAC","1976","239085"
"Macao SAR, China","MAC","1977","236695"
"Macao SAR, China","MAC","1978","235198"
"Macao SAR, China","MAC","1979","235479"
"Macao SAR, China","MAC","1980","238118"
"Macao SAR, China","MAC","1981","243427"
"Macao SAR, China","MAC","1982","251219"
"Macao SAR, China","MAC","1983","260997"
"Macao SAR, China","MAC","1984","271993"
"Macao SAR, China","MAC","1985","283581"
"Macao SAR, China","MAC","1986","295677"
"Macao SAR, China","MAC","1987","308275"
"Macao SAR, China","MAC","1988","320877"
"Macao SAR, China","MAC","1989","332901"
"Macao SAR, China","MAC","1990","343935"
"Macao SAR, China","MAC","1991","353764"
"Macao SAR, China","MAC","1992","362459"
"Macao SAR, China","MAC","1993","370345"
"Macao SAR, China","MAC","1994","377960"
"Macao SAR, China","MAC","1995","385686"
"Macao SAR, China","MAC","1996","393567"
"Macao SAR, China","MAC","1997","401564"
"Macao SAR, China","MAC","1998","409837"
"Macao SAR, China","MAC","1999","418604"
"Macao SAR, China","MAC","2000","427979"
"Macao SAR, China","MAC","2001","438081"
"Macao SAR, China","MAC","2002","448896"
"Macao SAR, China","MAC","2003","460147"
"Macao SAR, China","MAC","2004","471453"
"Macao SAR, China","MAC","2005","482559"
"Macao SAR, China","MAC","2006","493320"
"Macao SAR, China","MAC","2007","503823"
"Macao SAR, China","MAC","2008","514348"
"Macao SAR, China","MAC","2009","525313"
"Macao SAR, China","MAC","2010","536969"
"Macao SAR, China","MAC","2011","549439"
"Macao SAR, China","MAC","2012","562531"
"Macao SAR, China","MAC","2013","575841"
"Macao SAR, China","MAC","2014","588781"
"Macao SAR, China","MAC","2015","600942"
"Macao SAR, China","MAC","2016","612167"
