"Country Name","Country Code","Year","Value"
"Macedonia, FYR","MKD","1960","1488667"
"Macedonia, FYR","MKD","1961","1507654"
"Macedonia, FYR","MKD","1962","1527111"
"Macedonia, FYR","MKD","1963","1547450"
"Macedonia, FYR","MKD","1964","1569141"
"Macedonia, FYR","MKD","1965","1592432"
"Macedonia, FYR","MKD","1966","1617794"
"Macedonia, FYR","MKD","1967","1644943"
"Macedonia, FYR","MKD","1968","1672399"
"Macedonia, FYR","MKD","1969","1698143"
"Macedonia, FYR","MKD","1970","1720800"
"Macedonia, FYR","MKD","1971","1739521"
"Macedonia, FYR","MKD","1972","1754956"
"Macedonia, FYR","MKD","1973","1768992"
"Macedonia, FYR","MKD","1974","1784398"
"Macedonia, FYR","MKD","1975","1803010"
"Macedonia, FYR","MKD","1976","1825552"
"Macedonia, FYR","MKD","1977","1851069"
"Macedonia, FYR","MKD","1978","1877688"
"Macedonia, FYR","MKD","1979","1902719"
"Macedonia, FYR","MKD","1980","1924197"
"Macedonia, FYR","MKD","1981","1941530"
"Macedonia, FYR","MKD","1982","1955243"
"Macedonia, FYR","MKD","1983","1965895"
"Macedonia, FYR","MKD","1984","1974415"
"Macedonia, FYR","MKD","1985","1981534"
"Macedonia, FYR","MKD","1986","1987538"
"Macedonia, FYR","MKD","1987","1992274"
"Macedonia, FYR","MKD","1988","1995513"
"Macedonia, FYR","MKD","1989","1996870"
"Macedonia, FYR","MKD","1990","1996228"
"Macedonia, FYR","MKD","1991","1993302"
"Macedonia, FYR","MKD","1992","1988659"
"Macedonia, FYR","MKD","1993","1984028"
"Macedonia, FYR","MKD","1994","1981703"
"Macedonia, FYR","MKD","1995","1983252"
"Macedonia, FYR","MKD","1996","1989443"
"Macedonia, FYR","MKD","1997","1999599"
"Macedonia, FYR","MKD","1998","2012057"
"Macedonia, FYR","MKD","1999","2024394"
"Macedonia, FYR","MKD","2000","2034819"
"Macedonia, FYR","MKD","2001","2042842"
"Macedonia, FYR","MKD","2002","2048928"
"Macedonia, FYR","MKD","2003","2053426"
"Macedonia, FYR","MKD","2004","2057047"
"Macedonia, FYR","MKD","2005","2060272"
"Macedonia, FYR","MKD","2006","2063145"
"Macedonia, FYR","MKD","2007","2065458"
"Macedonia, FYR","MKD","2008","2067378"
"Macedonia, FYR","MKD","2009","2069093"
"Macedonia, FYR","MKD","2010","2070739"
"Macedonia, FYR","MKD","2011","2072383"
"Macedonia, FYR","MKD","2012","2074036"
"Macedonia, FYR","MKD","2013","2075739"
"Macedonia, FYR","MKD","2014","2077495"
"Macedonia, FYR","MKD","2015","2079308"
"Macedonia, FYR","MKD","2016","2081206"
