"Country Name","Country Code","Year","Value"
"Madagascar","MDG","1960","5099373"
"Madagascar","MDG","1961","5223568"
"Madagascar","MDG","1962","5352503"
"Madagascar","MDG","1963","5486319"
"Madagascar","MDG","1964","5625164"
"Madagascar","MDG","1965","5769218"
"Madagascar","MDG","1966","5918595"
"Madagascar","MDG","1967","6073526"
"Madagascar","MDG","1968","6234465"
"Madagascar","MDG","1969","6401921"
"Madagascar","MDG","1970","6576305"
"Madagascar","MDG","1971","6757850"
"Madagascar","MDG","1972","6946620"
"Madagascar","MDG","1973","7142627"
"Madagascar","MDG","1974","7345780"
"Madagascar","MDG","1975","7556026"
"Madagascar","MDG","1976","7773449"
"Madagascar","MDG","1977","7998164"
"Madagascar","MDG","1978","8230218"
"Madagascar","MDG","1979","8469672"
"Madagascar","MDG","1980","8716553"
"Madagascar","MDG","1981","8971345"
"Madagascar","MDG","1982","9234129"
"Madagascar","MDG","1983","9504281"
"Madagascar","MDG","1984","9780872"
"Madagascar","MDG","1985","10063495"
"Madagascar","MDG","1986","10352120"
"Madagascar","MDG","1987","10647754"
"Madagascar","MDG","1988","10952395"
"Madagascar","MDG","1989","11268658"
"Madagascar","MDG","1990","11598633"
"Madagascar","MDG","1991","11942819"
"Madagascar","MDG","1992","12301336"
"Madagascar","MDG","1993","12675460"
"Madagascar","MDG","1994","13066543"
"Madagascar","MDG","1995","13475400"
"Madagascar","MDG","1996","13902688"
"Madagascar","MDG","1997","14347854"
"Madagascar","MDG","1998","14808791"
"Madagascar","MDG","1999","15282521"
"Madagascar","MDG","2000","15766806"
"Madagascar","MDG","2001","16260932"
"Madagascar","MDG","2002","16765117"
"Madagascar","MDG","2003","17279141"
"Madagascar","MDG","2004","17802997"
"Madagascar","MDG","2005","18336724"
"Madagascar","MDG","2006","18880268"
"Madagascar","MDG","2007","19433523"
"Madagascar","MDG","2008","19996469"
"Madagascar","MDG","2009","20569121"
"Madagascar","MDG","2010","21151640"
"Madagascar","MDG","2011","21743949"
"Madagascar","MDG","2012","22346573"
"Madagascar","MDG","2013","22961146"
"Madagascar","MDG","2014","23589801"
"Madagascar","MDG","2015","24234088"
"Madagascar","MDG","2016","24894551"
