"Year","Value"
"1960","3618595.0"
"1961","3700023.0"
"1962","3784439.0"
"1963","3872118.0"
"1964","3963417.0"
"1965","4058673.0"
"1966","4158124.0"
"1967","4262005.0"
"1968","4370650.0"
"1969","4484439.0"
"1970","4603723.0"
"1971","4728703.0"
"1972","4859610.0"
"1973","4996940.0"
"1974","5141202.0"
"1975","5292808.0"
"1976","5454705.0"
"1977","5627533.0"
"1978","5806845.0"
"1979","5986332.0"
"1980","6163080.0"
"1981","6327569.0"
"1982","6484452.0"
"1983","6661358.0"
"1984","6895928.0"
"1985","7211105.0"
"1986","7625305.0"
"1987","8120093.0"
"1988","8636935.0"
"1989","9094671.0"
"1990","9437553.0"
"1991","9641153.0"
"1992","9729717.0"
"1993","9755857.0"
"1994","9796976.0"
"1995","9909088.0"
"1996","10109789.0"
"1997","10381862.0"
"1998","10704744.0"
"1999","11044356.0"
"2000","11376172.0"
"2001","11695863.0"
"2002","12013711.0"
"2003","12336687.0"
"2004","12676038.0"
"2005","13039711.0"
"2006","13429262.0"
"2007","13840969.0"
"2008","14271234.0"
"2009","14714602.0"
"2010","15167095.0"
"2011","15627618.0"
"2012","16097305.0"
"2013","16577147.0"
"2014","17068838.0"
"2015","17573607.0"
"2016","18091575.0"
