"Country Name","Country Code","Year","Value"
"Malaysia","MYS","1960","8157106"
"Malaysia","MYS","1961","8418460"
"Malaysia","MYS","1962","8692815"
"Malaysia","MYS","1963","8974084"
"Malaysia","MYS","1964","9253963"
"Malaysia","MYS","1965","9526563"
"Malaysia","MYS","1966","9789982"
"Malaysia","MYS","1967","10046172"
"Malaysia","MYS","1968","10297801"
"Malaysia","MYS","1969","10549226"
"Malaysia","MYS","1970","10803978"
"Malaysia","MYS","1971","11062338"
"Malaysia","MYS","1972","11324251"
"Malaysia","MYS","1973","11592698"
"Malaysia","MYS","1974","11871233"
"Malaysia","MYS","1975","12162369"
"Malaysia","MYS","1976","12468893"
"Malaysia","MYS","1977","12790546"
"Malaysia","MYS","1978","13123069"
"Malaysia","MYS","1979","13460201"
"Malaysia","MYS","1980","13798125"
"Malaysia","MYS","1981","14133840"
"Malaysia","MYS","1982","14470633"
"Malaysia","MYS","1983","14818617"
"Malaysia","MYS","1984","15191625"
"Malaysia","MYS","1985","15598942"
"Malaysia","MYS","1986","16045047"
"Malaysia","MYS","1987","16525108"
"Malaysia","MYS","1988","17027588"
"Malaysia","MYS","1989","17535971"
"Malaysia","MYS","1990","18038321"
"Malaysia","MYS","1991","18529454"
"Malaysia","MYS","1992","19012724"
"Malaysia","MYS","1993","19494967"
"Malaysia","MYS","1994","19986894"
"Malaysia","MYS","1995","20495597"
"Malaysia","MYS","1996","21023321"
"Malaysia","MYS","1997","21565325"
"Malaysia","MYS","1998","22113464"
"Malaysia","MYS","1999","22656286"
"Malaysia","MYS","2000","23185608"
"Malaysia","MYS","2001","23698907"
"Malaysia","MYS","2002","24198811"
"Malaysia","MYS","2003","24688703"
"Malaysia","MYS","2004","25174109"
"Malaysia","MYS","2005","25659393"
"Malaysia","MYS","2006","26143566"
"Malaysia","MYS","2007","26625845"
"Malaysia","MYS","2008","27111069"
"Malaysia","MYS","2009","27605383"
"Malaysia","MYS","2010","28112289"
"Malaysia","MYS","2011","28635128"
"Malaysia","MYS","2012","29170456"
"Malaysia","MYS","2013","29706724"
"Malaysia","MYS","2014","30228017"
"Malaysia","MYS","2015","30723155"
"Malaysia","MYS","2016","31187265"
