"Year","Value"
"1960","89887.0"
"1961","92350.0"
"1962","94938.0"
"1963","97584.0"
"1964","100214.0"
"1965","102766.0"
"1966","105190.0"
"1967","107538.0"
"1968","109959.0"
"1969","112651.0"
"1970","115768.0"
"1971","119378.0"
"1972","123441.0"
"1973","127791.0"
"1974","132195.0"
"1975","136519.0"
"1976","140665.0"
"1977","144736.0"
"1978","148892.0"
"1979","153386.0"
"1980","158385.0"
"1981","163935.0"
"1982","169960.0"
"1983","176356.0"
"1984","182953.0"
"1985","189637.0"
"1986","196357.0"
"1987","203124.0"
"1988","209885.0"
"1989","216595.0"
"1990","218000.0"
"1991","227000.0"
"1992","234000.0"
"1993","242000.0"
"1994","245000.0"
"1995","255000.0"
"1996","262000.0"
"1997","264000.0"
"1998","271000.0"
"1999","280000.0"
"2000","286000.0"
"2001","292000.0"
"2002","297000.0"
"2003","304000.0"
"2004","312000.0"
"2005","321000.0"
"2006","333000.0"
"2007","349000.0"
"2008","362000.0"
"2009","360000.0"
"2010","367000.0"
"2011","377000.0"
"2012","385000.0"
"2013","393000.0"
"2014","401000.0"
"2015","409163.0"
"2016","417492.0"
