"Country Name","Country Code","Year","Value"
"Mali","MLI","1960","5263733"
"Mali","MLI","1961","5322266"
"Mali","MLI","1962","5381368"
"Mali","MLI","1963","5441613"
"Mali","MLI","1964","5503752"
"Mali","MLI","1965","5568484"
"Mali","MLI","1966","5635859"
"Mali","MLI","1967","5706199"
"Mali","MLI","1968","5780835"
"Mali","MLI","1969","5861412"
"Mali","MLI","1970","5949045"
"Mali","MLI","1971","6044530"
"Mali","MLI","1972","6147458"
"Mali","MLI","1973","6256187"
"Mali","MLI","1974","6368348"
"Mali","MLI","1975","6482278"
"Mali","MLI","1976","6596773"
"Mali","MLI","1977","6712401"
"Mali","MLI","1978","6831295"
"Mali","MLI","1979","6956579"
"Mali","MLI","1980","7090126"
"Mali","MLI","1981","7234303"
"Mali","MLI","1982","7387656"
"Mali","MLI","1983","7543743"
"Mali","MLI","1984","7693667"
"Mali","MLI","1985","7831889"
"Mali","MLI","1986","7955164"
"Mali","MLI","1987","8067758"
"Mali","MLI","1988","8180728"
"Mali","MLI","1989","8309531"
"Mali","MLI","1990","8465188"
"Mali","MLI","1991","8652514"
"Mali","MLI","1992","8868263"
"Mali","MLI","1993","9105472"
"Mali","MLI","1994","9353385"
"Mali","MLI","1995","9604450"
"Mali","MLI","1996","9856810"
"Mali","MLI","1997","10114094"
"Mali","MLI","1998","10380835"
"Mali","MLI","1999","10663723"
"Mali","MLI","2000","10967690"
"Mali","MLI","2001","11293258"
"Mali","MLI","2002","11638929"
"Mali","MLI","2003","12005128"
"Mali","MLI","2004","12391906"
"Mali","MLI","2005","12798763"
"Mali","MLI","2006","13227064"
"Mali","MLI","2007","13675606"
"Mali","MLI","2008","14138216"
"Mali","MLI","2009","14606597"
"Mali","MLI","2010","15075085"
"Mali","MLI","2011","15540989"
"Mali","MLI","2012","16006670"
"Mali","MLI","2013","16477818"
"Mali","MLI","2014","16962846"
"Mali","MLI","2015","17467905"
"Mali","MLI","2016","17994837"
