"Country Name","Country Code","Year","Value"
"Marshall Islands","MHL","1960","14662"
"Marshall Islands","MHL","1961","15051"
"Marshall Islands","MHL","1962","15547"
"Marshall Islands","MHL","1963","16114"
"Marshall Islands","MHL","1964","16710"
"Marshall Islands","MHL","1965","17284"
"Marshall Islands","MHL","1966","17842"
"Marshall Islands","MHL","1967","18388"
"Marshall Islands","MHL","1968","18961"
"Marshall Islands","MHL","1969","19622"
"Marshall Islands","MHL","1970","20395"
"Marshall Islands","MHL","1971","21313"
"Marshall Islands","MHL","1972","22341"
"Marshall Islands","MHL","1973","23439"
"Marshall Islands","MHL","1974","24531"
"Marshall Islands","MHL","1975","25576"
"Marshall Islands","MHL","1976","26552"
"Marshall Islands","MHL","1977","27470"
"Marshall Islands","MHL","1978","28405"
"Marshall Islands","MHL","1979","29418"
"Marshall Islands","MHL","1980","30576"
"Marshall Islands","MHL","1981","31893"
"Marshall Islands","MHL","1982","33330"
"Marshall Islands","MHL","1983","34892"
"Marshall Islands","MHL","1984","36561"
"Marshall Islands","MHL","1985","38333"
"Marshall Islands","MHL","1986","40204"
"Marshall Islands","MHL","1987","42153"
"Marshall Islands","MHL","1988","44063"
"Marshall Islands","MHL","1989","45814"
"Marshall Islands","MHL","1990","47298"
"Marshall Islands","MHL","1991","48475"
"Marshall Islands","MHL","1992","49378"
"Marshall Islands","MHL","1993","50048"
"Marshall Islands","MHL","1994","50575"
"Marshall Islands","MHL","1995","51015"
"Marshall Islands","MHL","1996","51401"
"Marshall Islands","MHL","1997","51692"
"Marshall Islands","MHL","1998","51925"
"Marshall Islands","MHL","1999","52079"
"Marshall Islands","MHL","2000","52159"
"Marshall Islands","MHL","2001","52183"
"Marshall Islands","MHL","2002","52158"
"Marshall Islands","MHL","2003","52116"
"Marshall Islands","MHL","2004","52074"
"Marshall Islands","MHL","2005","52055"
"Marshall Islands","MHL","2006","52078"
"Marshall Islands","MHL","2007","52137"
"Marshall Islands","MHL","2008","52218"
"Marshall Islands","MHL","2009","52320"
"Marshall Islands","MHL","2010","52425"
"Marshall Islands","MHL","2011","52542"
"Marshall Islands","MHL","2012","52663"
"Marshall Islands","MHL","2013","52793"
"Marshall Islands","MHL","2014","52898"
"Marshall Islands","MHL","2015","52994"
"Marshall Islands","MHL","2016","53066"
