"Country Name","Country Code","Year","Value"
"Mauritius","MUS","1960","659351"
"Mauritius","MUS","1961","680757"
"Mauritius","MUS","1962","700349"
"Mauritius","MUS","1963","718861"
"Mauritius","MUS","1964","736381"
"Mauritius","MUS","1965","753000"
"Mauritius","MUS","1966","768813"
"Mauritius","MUS","1967","783917"
"Mauritius","MUS","1968","798413"
"Mauritius","MUS","1969","812405"
"Mauritius","MUS","1970","826000"
"Mauritius","MUS","1971","839230"
"Mauritius","MUS","1972","852053"
"Mauritius","MUS","1973","864819"
"Mauritius","MUS","1974","878042"
"Mauritius","MUS","1975","892000"
"Mauritius","MUS","1976","906507"
"Mauritius","MUS","1977","921379"
"Mauritius","MUS","1978","933499"
"Mauritius","MUS","1979","949888"
"Mauritius","MUS","1980","966039"
"Mauritius","MUS","1981","980462"
"Mauritius","MUS","1982","992521"
"Mauritius","MUS","1983","1001691"
"Mauritius","MUS","1984","1012221"
"Mauritius","MUS","1985","1020528"
"Mauritius","MUS","1986","1028360"
"Mauritius","MUS","1987","1036082"
"Mauritius","MUS","1988","1043239"
"Mauritius","MUS","1989","1051260"
"Mauritius","MUS","1990","1058775"
"Mauritius","MUS","1991","1070266"
"Mauritius","MUS","1992","1084441"
"Mauritius","MUS","1993","1097374"
"Mauritius","MUS","1994","1112846"
"Mauritius","MUS","1995","1122457"
"Mauritius","MUS","1996","1133996"
"Mauritius","MUS","1997","1148284"
"Mauritius","MUS","1998","1160421"
"Mauritius","MUS","1999","1175267"
"Mauritius","MUS","2000","1186873"
"Mauritius","MUS","2001","1196287"
"Mauritius","MUS","2002","1204621"
"Mauritius","MUS","2003","1213370"
"Mauritius","MUS","2004","1221003"
"Mauritius","MUS","2005","1228254"
"Mauritius","MUS","2006","1233996"
"Mauritius","MUS","2007","1239630"
"Mauritius","MUS","2008","1244121"
"Mauritius","MUS","2009","1247429"
"Mauritius","MUS","2010","1250400"
"Mauritius","MUS","2011","1252404"
"Mauritius","MUS","2012","1255882"
"Mauritius","MUS","2013","1258653"
"Mauritius","MUS","2014","1260934"
"Mauritius","MUS","2015","1262605"
"Mauritius","MUS","2016","1263473"
