"Country Name","Country Code","Year","Value"
"Mexico","MEX","1960","38174112"
"Mexico","MEX","1961","39394126"
"Mexico","MEX","1962","40649588"
"Mexico","MEX","1963","41939880"
"Mexico","MEX","1964","43264272"
"Mexico","MEX","1965","44623043"
"Mexico","MEX","1966","46011038"
"Mexico","MEX","1967","47429812"
"Mexico","MEX","1968","48894019"
"Mexico","MEX","1969","50423481"
"Mexico","MEX","1970","52029861"
"Mexico","MEX","1971","53718724"
"Mexico","MEX","1972","55478151"
"Mexico","MEX","1973","57280587"
"Mexico","MEX","1974","59088193"
"Mexico","MEX","1975","60872399"
"Mexico","MEX","1976","62623763"
"Mexico","MEX","1977","64345884"
"Mexico","MEX","1978","66039488"
"Mexico","MEX","1979","67709689"
"Mexico","MEX","1980","69360871"
"Mexico","MEX","1981","70992195"
"Mexico","MEX","1982","72602533"
"Mexico","MEX","1983","74196548"
"Mexico","MEX","1984","75780605"
"Mexico","MEX","1985","77360707"
"Mexico","MEX","1986","78934125"
"Mexico","MEX","1987","80503052"
"Mexico","MEX","1988","82083919"
"Mexico","MEX","1989","83697891"
"Mexico","MEX","1990","85357874"
"Mexico","MEX","1991","87071512"
"Mexico","MEX","1992","88828310"
"Mexico","MEX","1993","90600453"
"Mexico","MEX","1994","92349147"
"Mexico","MEX","1995","94045579"
"Mexico","MEX","1996","95687452"
"Mexico","MEX","1997","97281739"
"Mexico","MEX","1998","98821456"
"Mexico","MEX","1999","100300579"
"Mexico","MEX","2000","101719673"
"Mexico","MEX","2001","103067068"
"Mexico","MEX","2002","104355608"
"Mexico","MEX","2003","105640453"
"Mexico","MEX","2004","106995583"
"Mexico","MEX","2005","108472228"
"Mexico","MEX","2006","110092378"
"Mexico","MEX","2007","111836346"
"Mexico","MEX","2008","113661809"
"Mexico","MEX","2009","115505228"
"Mexico","MEX","2010","117318941"
"Mexico","MEX","2011","119090017"
"Mexico","MEX","2012","120828307"
"Mexico","MEX","2013","122535969"
"Mexico","MEX","2014","124221600"
"Mexico","MEX","2015","125890949"
"Mexico","MEX","2016","127540423"
