"Country Name","Country Code","Year","Value"
"Micronesia, Fed. Sts.","FSM","1960","44537"
"Micronesia, Fed. Sts.","FSM","1961","45955"
"Micronesia, Fed. Sts.","FSM","1962","47388"
"Micronesia, Fed. Sts.","FSM","1963","48876"
"Micronesia, Fed. Sts.","FSM","1964","50487"
"Micronesia, Fed. Sts.","FSM","1965","52242"
"Micronesia, Fed. Sts.","FSM","1966","54199"
"Micronesia, Fed. Sts.","FSM","1967","56319"
"Micronesia, Fed. Sts.","FSM","1968","58403"
"Micronesia, Fed. Sts.","FSM","1969","60170"
"Micronesia, Fed. Sts.","FSM","1970","61431"
"Micronesia, Fed. Sts.","FSM","1971","62108"
"Micronesia, Fed. Sts.","FSM","1972","62298"
"Micronesia, Fed. Sts.","FSM","1973","62290"
"Micronesia, Fed. Sts.","FSM","1974","62476"
"Micronesia, Fed. Sts.","FSM","1975","63144"
"Micronesia, Fed. Sts.","FSM","1976","64386"
"Micronesia, Fed. Sts.","FSM","1977","66105"
"Micronesia, Fed. Sts.","FSM","1978","68222"
"Micronesia, Fed. Sts.","FSM","1979","70550"
"Micronesia, Fed. Sts.","FSM","1980","72964"
"Micronesia, Fed. Sts.","FSM","1981","75462"
"Micronesia, Fed. Sts.","FSM","1982","78059"
"Micronesia, Fed. Sts.","FSM","1983","80678"
"Micronesia, Fed. Sts.","FSM","1984","83240"
"Micronesia, Fed. Sts.","FSM","1985","85686"
"Micronesia, Fed. Sts.","FSM","1986","87948"
"Micronesia, Fed. Sts.","FSM","1987","90020"
"Micronesia, Fed. Sts.","FSM","1988","92021"
"Micronesia, Fed. Sts.","FSM","1989","94091"
"Micronesia, Fed. Sts.","FSM","1990","96331"
"Micronesia, Fed. Sts.","FSM","1991","98799"
"Micronesia, Fed. Sts.","FSM","1992","101413"
"Micronesia, Fed. Sts.","FSM","1993","103934"
"Micronesia, Fed. Sts.","FSM","1994","106057"
"Micronesia, Fed. Sts.","FSM","1995","107556"
"Micronesia, Fed. Sts.","FSM","1996","108344"
"Micronesia, Fed. Sts.","FSM","1997","108502"
"Micronesia, Fed. Sts.","FSM","1998","108238"
"Micronesia, Fed. Sts.","FSM","1999","107816"
"Micronesia, Fed. Sts.","FSM","2000","107432"
"Micronesia, Fed. Sts.","FSM","2001","107165"
"Micronesia, Fed. Sts.","FSM","2002","106983"
"Micronesia, Fed. Sts.","FSM","2003","106816"
"Micronesia, Fed. Sts.","FSM","2004","106577"
"Micronesia, Fed. Sts.","FSM","2005","106196"
"Micronesia, Fed. Sts.","FSM","2006","105684"
"Micronesia, Fed. Sts.","FSM","2007","105078"
"Micronesia, Fed. Sts.","FSM","2008","104478"
"Micronesia, Fed. Sts.","FSM","2009","103960"
"Micronesia, Fed. Sts.","FSM","2010","103616"
"Micronesia, Fed. Sts.","FSM","2011","103468"
"Micronesia, Fed. Sts.","FSM","2012","103503"
"Micronesia, Fed. Sts.","FSM","2013","103702"
"Micronesia, Fed. Sts.","FSM","2014","104015"
"Micronesia, Fed. Sts.","FSM","2015","104433"
"Micronesia, Fed. Sts.","FSM","2016","104937"
