"Country Name","Country Code","Year","Value"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1960","97837766"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1961","100458479"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1962","103147177"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1963","105914391"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1964","108774858"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1965","111738154"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1966","114816087"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1967","118004103"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1968","121276296"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1969","124596411"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1970","127942543"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1971","131309640"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1972","134719523"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1973","138211123"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1974","141837810"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1975","145642454"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1976","149628962"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1977","153798274"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1978","158185098"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1979","162829871"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1980","167755859"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1981","172967490"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1982","178440308"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1983","184129812"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1984","189974163"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1985","195917732"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1986","201950420"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1987","208051337"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1988","214140741"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1989","220121789"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1990","225925572"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1991","231513429"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1992","236899060"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1993","242132775"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1994","247294351"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1995","252443551"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1996","257602127"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1997","262757426"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1998","267895723"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1999","272991630"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2000","278033137"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2001","283018341"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2002","287975628"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2003","292959567"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2004","298041669"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2005","303274818"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2006","308672973"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2007","314226665"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2008","319934461"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2009","325786717"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2010","331770455"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2011","337894992"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2012","344148796"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2013","350471538"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2014","356783315"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2015","363027163"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2016","369167489"
