"Country Name","Country Code","Year","Value"
"Middle East & North Africa (excluding high income)","MNA","1960","97837766"
"Middle East & North Africa (excluding high income)","MNA","1961","100458479"
"Middle East & North Africa (excluding high income)","MNA","1962","103147177"
"Middle East & North Africa (excluding high income)","MNA","1963","105914391"
"Middle East & North Africa (excluding high income)","MNA","1964","108774858"
"Middle East & North Africa (excluding high income)","MNA","1965","111738154"
"Middle East & North Africa (excluding high income)","MNA","1966","114816087"
"Middle East & North Africa (excluding high income)","MNA","1967","118004103"
"Middle East & North Africa (excluding high income)","MNA","1968","121276296"
"Middle East & North Africa (excluding high income)","MNA","1969","124596411"
"Middle East & North Africa (excluding high income)","MNA","1970","127942543"
"Middle East & North Africa (excluding high income)","MNA","1971","131309640"
"Middle East & North Africa (excluding high income)","MNA","1972","134719523"
"Middle East & North Africa (excluding high income)","MNA","1973","138211123"
"Middle East & North Africa (excluding high income)","MNA","1974","141837810"
"Middle East & North Africa (excluding high income)","MNA","1975","145642454"
"Middle East & North Africa (excluding high income)","MNA","1976","149628962"
"Middle East & North Africa (excluding high income)","MNA","1977","153798274"
"Middle East & North Africa (excluding high income)","MNA","1978","158185098"
"Middle East & North Africa (excluding high income)","MNA","1979","162829871"
"Middle East & North Africa (excluding high income)","MNA","1980","167755859"
"Middle East & North Africa (excluding high income)","MNA","1981","172967490"
"Middle East & North Africa (excluding high income)","MNA","1982","178440308"
"Middle East & North Africa (excluding high income)","MNA","1983","184129812"
"Middle East & North Africa (excluding high income)","MNA","1984","189974163"
"Middle East & North Africa (excluding high income)","MNA","1985","195917732"
"Middle East & North Africa (excluding high income)","MNA","1986","201950420"
"Middle East & North Africa (excluding high income)","MNA","1987","208051337"
"Middle East & North Africa (excluding high income)","MNA","1988","214140741"
"Middle East & North Africa (excluding high income)","MNA","1989","220121789"
"Middle East & North Africa (excluding high income)","MNA","1990","227903820"
"Middle East & North Africa (excluding high income)","MNA","1991","233582274"
"Middle East & North Africa (excluding high income)","MNA","1992","239062651"
"Middle East & North Africa (excluding high income)","MNA","1993","244395451"
"Middle East & North Africa (excluding high income)","MNA","1994","249660649"
"Middle East & North Africa (excluding high income)","MNA","1995","254918217"
"Middle East & North Africa (excluding high income)","MNA","1996","260190124"
"Middle East & North Africa (excluding high income)","MNA","1997","265463944"
"Middle East & North Africa (excluding high income)","MNA","1998","270672291"
"Middle East & North Africa (excluding high income)","MNA","1999","275840061"
"Middle East & North Africa (excluding high income)","MNA","2000","280955290"
"Middle East & North Africa (excluding high income)","MNA","2001","286016125"
"Middle East & North Africa (excluding high income)","MNA","2002","291051001"
"Middle East & North Africa (excluding high income)","MNA","2003","296114536"
"Middle East & North Africa (excluding high income)","MNA","2004","301278295"
"Middle East & North Africa (excluding high income)","MNA","2005","306595214"
"Middle East & North Africa (excluding high income)","MNA","2006","312079307"
"Middle East & North Africa (excluding high income)","MNA","2007","317721161"
"Middle East & North Africa (excluding high income)","MNA","2008","323531149"
"Middle East & North Africa (excluding high income)","MNA","2009","329488935"
"Middle East & North Africa (excluding high income)","MNA","2010","335581557"
"Middle East & North Africa (excluding high income)","MNA","2011","341822043"
"Middle East & North Africa (excluding high income)","MNA","2012","348195697"
"Middle East & North Africa (excluding high income)","MNA","2013","354641044"
"Middle East & North Africa (excluding high income)","MNA","2014","361077997"
"Middle East & North Africa (excluding high income)","MNA","2015","367449306"
"Middle East & North Africa (excluding high income)","MNA","2016","373719055"
