"Country Name","Country Code","Year","Value"
"Middle East & North Africa","MEA","1960","105488678"
"Middle East & North Africa","MEA","1961","108374227"
"Middle East & North Africa","MEA","1962","111385940"
"Middle East & North Africa","MEA","1963","114471415"
"Middle East & North Africa","MEA","1964","117671617"
"Middle East & North Africa","MEA","1965","120973578"
"Middle East & North Africa","MEA","1966","124374455"
"Middle East & North Africa","MEA","1967","127947266"
"Middle East & North Africa","MEA","1968","131566224"
"Middle East & North Africa","MEA","1969","135279930"
"Middle East & North Africa","MEA","1970","139083819"
"Middle East & North Africa","MEA","1971","142950993"
"Middle East & North Africa","MEA","1972","146887303"
"Middle East & North Africa","MEA","1973","150999871"
"Middle East & North Africa","MEA","1974","155259901"
"Middle East & North Africa","MEA","1975","159722643"
"Middle East & North Africa","MEA","1976","164407528"
"Middle East & North Africa","MEA","1977","169318424"
"Middle East & North Africa","MEA","1978","174493349"
"Middle East & North Africa","MEA","1979","180000521"
"Middle East & North Africa","MEA","1980","185843847"
"Middle East & North Africa","MEA","1981","192015875"
"Middle East & North Africa","MEA","1982","198499602"
"Middle East & North Africa","MEA","1983","205229901"
"Middle East & North Africa","MEA","1984","212102793"
"Middle East & North Africa","MEA","1985","219095273"
"Middle East & North Africa","MEA","1986","226161475"
"Middle East & North Africa","MEA","1987","233285188"
"Middle East & North Africa","MEA","1988","240367135"
"Middle East & North Africa","MEA","1989","247283550"
"Middle East & North Africa","MEA","1990","255989130"
"Middle East & North Africa","MEA","1991","262659662"
"Middle East & North Africa","MEA","1992","267020622"
"Middle East & North Africa","MEA","1993","273204804"
"Middle East & North Africa","MEA","1994","279279333"
"Middle East & North Africa","MEA","1995","286917385"
"Middle East & North Africa","MEA","1996","292934005"
"Middle East & North Africa","MEA","1997","298982946"
"Middle East & North Africa","MEA","1998","305001541"
"Middle East & North Africa","MEA","1999","311053183"
"Middle East & North Africa","MEA","2000","317129227"
"Middle East & North Africa","MEA","2001","323196354"
"Middle East & North Africa","MEA","2002","329289435"
"Middle East & North Africa","MEA","2003","335522845"
"Middle East & North Africa","MEA","2004","342046777"
"Middle East & North Africa","MEA","2005","348956287"
"Middle East & North Africa","MEA","2006","356287693"
"Middle East & North Africa","MEA","2007","363996317"
"Middle East & North Africa","MEA","2008","371999662"
"Middle East & North Africa","MEA","2009","380192587"
"Middle East & North Africa","MEA","2010","388376106"
"Middle East & North Africa","MEA","2011","396573248"
"Middle East & North Africa","MEA","2012","404782447"
"Middle East & North Africa","MEA","2013","412950407"
"Middle East & North Africa","MEA","2014","421022841"
"Middle East & North Africa","MEA","2015","428961724"
"Middle East & North Africa","MEA","2016","436720722"
