"Country Name","Country Code","Year","Value"
"Moldova","MDA","1960","2544000"
"Moldova","MDA","1961","2605000"
"Moldova","MDA","1962","2664000"
"Moldova","MDA","1963","2721000"
"Moldova","MDA","1964","2774000"
"Moldova","MDA","1965","2825000"
"Moldova","MDA","1966","2873000"
"Moldova","MDA","1967","2918000"
"Moldova","MDA","1968","2960000"
"Moldova","MDA","1969","3002000"
"Moldova","MDA","1970","3044000"
"Moldova","MDA","1971","3088000"
"Moldova","MDA","1972","3131000"
"Moldova","MDA","1973","3174000"
"Moldova","MDA","1974","3215000"
"Moldova","MDA","1975","3251000"
"Moldova","MDA","1976","3284000"
"Moldova","MDA","1977","3312000"
"Moldova","MDA","1978","3339000"
"Moldova","MDA","1979","3366000"
"Moldova","MDA","1980","3396000"
"Moldova","MDA","1981","3429000"
"Moldova","MDA","1982","3464000"
"Moldova","MDA","1983","3500000"
"Moldova","MDA","1984","3536000"
"Moldova","MDA","1985","3570000"
"Moldova","MDA","1986","3602000"
"Moldova","MDA","1987","3633000"
"Moldova","MDA","1988","3660000"
"Moldova","MDA","1989","3681000"
"Moldova","MDA","1990","3696000"
"Moldova","MDA","1991","3704000"
"Moldova","MDA","1992","3706000"
"Moldova","MDA","1993","3701000"
"Moldova","MDA","1994","3691000"
"Moldova","MDA","1995","3675099"
"Moldova","MDA","1996","3667748"
"Moldova","MDA","1997","3654208"
"Moldova","MDA","1998","3652732"
"Moldova","MDA","1999","3647001"
"Moldova","MDA","2000","3639592"
"Moldova","MDA","2001","3631462"
"Moldova","MDA","2002","3623062"
"Moldova","MDA","2003","3612874"
"Moldova","MDA","2004","3603945"
"Moldova","MDA","2005","3595187"
"Moldova","MDA","2006","3585209"
"Moldova","MDA","2007","3576910"
"Moldova","MDA","2008","3570108"
"Moldova","MDA","2009","3565604"
"Moldova","MDA","2010","3562045"
"Moldova","MDA","2011","3559986"
"Moldova","MDA","2012","3559519"
"Moldova","MDA","2013","3558566"
"Moldova","MDA","2014","3556397"
"Moldova","MDA","2015","3554108"
"Moldova","MDA","2016","3552000"
