"Country Name","Country Code","Year","Value"
"Mongolia","MNG","1960","955505"
"Mongolia","MNG","1961","982178"
"Mongolia","MNG","1962","1011324"
"Mongolia","MNG","1963","1042383"
"Mongolia","MNG","1964","1074514"
"Mongolia","MNG","1965","1107124"
"Mongolia","MNG","1966","1139961"
"Mongolia","MNG","1967","1173191"
"Mongolia","MNG","1968","1207104"
"Mongolia","MNG","1969","1242214"
"Mongolia","MNG","1970","1278825"
"Mongolia","MNG","1971","1317050"
"Mongolia","MNG","1972","1356670"
"Mongolia","MNG","1973","1397304"
"Mongolia","MNG","1974","1438425"
"Mongolia","MNG","1975","1479651"
"Mongolia","MNG","1976","1520865"
"Mongolia","MNG","1977","1562209"
"Mongolia","MNG","1978","1603906"
"Mongolia","MNG","1979","1646291"
"Mongolia","MNG","1980","1689622"
"Mongolia","MNG","1981","1733475"
"Mongolia","MNG","1982","1777727"
"Mongolia","MNG","1983","1823216"
"Mongolia","MNG","1984","1871090"
"Mongolia","MNG","1985","1921881"
"Mongolia","MNG","1986","1976309"
"Mongolia","MNG","1987","2033343"
"Mongolia","MNG","1988","2089714"
"Mongolia","MNG","1989","2141008"
"Mongolia","MNG","1990","2184145"
"Mongolia","MNG","1991","2217918"
"Mongolia","MNG","1992","2243502"
"Mongolia","MNG","1993","2263200"
"Mongolia","MNG","1994","2280496"
"Mongolia","MNG","1995","2298039"
"Mongolia","MNG","1996","2316567"
"Mongolia","MNG","1997","2335695"
"Mongolia","MNG","1998","2355590"
"Mongolia","MNG","1999","2376162"
"Mongolia","MNG","2000","2397436"
"Mongolia","MNG","2001","2419776"
"Mongolia","MNG","2002","2443659"
"Mongolia","MNG","2003","2469286"
"Mongolia","MNG","2004","2496832"
"Mongolia","MNG","2005","2526446"
"Mongolia","MNG","2006","2558012"
"Mongolia","MNG","2007","2591670"
"Mongolia","MNG","2008","2628131"
"Mongolia","MNG","2009","2668289"
"Mongolia","MNG","2010","2712650"
"Mongolia","MNG","2011","2761516"
"Mongolia","MNG","2012","2814226"
"Mongolia","MNG","2013","2869107"
"Mongolia","MNG","2014","2923896"
"Mongolia","MNG","2015","2976877"
"Mongolia","MNG","2016","3027398"
