"Year","Value"
"1960","12328532.0"
"1961","12710547.0"
"1962","13094818.0"
"1963","13478232.0"
"1964","13857142.0"
"1965","14229044.0"
"1966","14593284.0"
"1967","14950803.0"
"1968","15302947.0"
"1969","15651924.0"
"1970","16000008.0"
"1971","16347198.0"
"1972","16695003.0"
"1973","17049165.0"
"1974","17416964.0"
"1975","17803698.0"
"1976","18210754.0"
"1977","18636977.0"
"1978","19081718.0"
"1979","19543347.0"
"1980","20019847.0"
"1981","20511601.0"
"1982","21016818.0"
"1983","21528502.0"
"1984","22037610.0"
"1985","22537376.0"
"1986","23023935.0"
"1987","23497766.0"
"1988","23961820.0"
"1989","24421191.0"
"1990","24879136.0"
"1991","25336862.0"
"1992","25791494.0"
"1993","26237417.0"
"1994","26667048.0"
"1995","27075232.0"
"1996","27460603.0"
"1997","27825901.0"
"1998","28175263.0"
"1999","28514798.0"
"2000","28849621.0"
"2001","29181832.0"
"2002","29512368.0"
"2003","29843937.0"
"2004","30179285.0"
"2005","30521070.0"
"2006","30869346.0"
"2007","31225881.0"
"2008","31596855.0"
"2009","31989897.0"
"2010","32409639.0"
"2011","32858823.0"
"2012","33333789.0"
"2013","33824769.0"
"2014","34318082.0"
"2015","34803322.0"
"2016","35276786.0"
