"Country Name","Country Code","Year","Value"
"Mozambique","MOZ","1960","7388695"
"Mozambique","MOZ","1961","7541325"
"Mozambique","MOZ","1962","7699139"
"Mozambique","MOZ","1963","7862072"
"Mozambique","MOZ","1964","8030025"
"Mozambique","MOZ","1965","8203076"
"Mozambique","MOZ","1966","8381455"
"Mozambique","MOZ","1967","8565674"
"Mozambique","MOZ","1968","8756481"
"Mozambique","MOZ","1969","8954809"
"Mozambique","MOZ","1970","9161534"
"Mozambique","MOZ","1971","9375144"
"Mozambique","MOZ","1972","9595762"
"Mozambique","MOZ","1973","9827580"
"Mozambique","MOZ","1974","10076172"
"Mozambique","MOZ","1975","10344494"
"Mozambique","MOZ","1976","10632932"
"Mozambique","MOZ","1977","10936936"
"Mozambique","MOZ","1978","11248046"
"Mozambique","MOZ","1979","11554979"
"Mozambique","MOZ","1980","11848331"
"Mozambique","MOZ","1981","12133074"
"Mozambique","MOZ","1982","12409243"
"Mozambique","MOZ","1983","12657708"
"Mozambique","MOZ","1984","12853780"
"Mozambique","MOZ","1985","12984405"
"Mozambique","MOZ","1986","13034385"
"Mozambique","MOZ","1987","13020861"
"Mozambique","MOZ","1988","13002553"
"Mozambique","MOZ","1989","13059613"
"Mozambique","MOZ","1990","13247649"
"Mozambique","MOZ","1991","13591970"
"Mozambique","MOZ","1992","14071231"
"Mozambique","MOZ","1993","14636995"
"Mozambique","MOZ","1994","15217044"
"Mozambique","MOZ","1995","15759132"
"Mozambique","MOZ","1996","16248232"
"Mozambique","MOZ","1997","16701351"
"Mozambique","MOZ","1998","17136780"
"Mozambique","MOZ","1999","17584869"
"Mozambique","MOZ","2000","18067687"
"Mozambique","MOZ","2001","18588758"
"Mozambique","MOZ","2002","19139658"
"Mozambique","MOZ","2003","19716598"
"Mozambique","MOZ","2004","20312705"
"Mozambique","MOZ","2005","20923070"
"Mozambique","MOZ","2006","21547463"
"Mozambique","MOZ","2007","22188387"
"Mozambique","MOZ","2008","22846758"
"Mozambique","MOZ","2009","23524063"
"Mozambique","MOZ","2010","24221405"
"Mozambique","MOZ","2011","24939005"
"Mozambique","MOZ","2012","25676606"
"Mozambique","MOZ","2013","26434372"
"Mozambique","MOZ","2014","27212382"
"Mozambique","MOZ","2015","28010691"
"Mozambique","MOZ","2016","28829476"
