"Country Name","Country Code","Year","Value"
"Myanmar","MMR","1960","20986123"
"Myanmar","MMR","1961","21438025"
"Myanmar","MMR","1962","21898020"
"Myanmar","MMR","1963","22371902"
"Myanmar","MMR","1964","22867741"
"Myanmar","MMR","1965","23391145"
"Myanmar","MMR","1966","23944178"
"Myanmar","MMR","1967","24524548"
"Myanmar","MMR","1968","25128116"
"Myanmar","MMR","1969","25748643"
"Myanmar","MMR","1970","26381431"
"Myanmar","MMR","1971","27024985"
"Myanmar","MMR","1972","27680144"
"Myanmar","MMR","1973","28347341"
"Myanmar","MMR","1974","29027734"
"Myanmar","MMR","1975","29721967"
"Myanmar","MMR","1976","30428034"
"Myanmar","MMR","1977","31144324"
"Myanmar","MMR","1978","31872230"
"Myanmar","MMR","1979","32613888"
"Myanmar","MMR","1980","33369712"
"Myanmar","MMR","1981","34139130"
"Myanmar","MMR","1982","34917895"
"Myanmar","MMR","1983","35697943"
"Myanmar","MMR","1984","36468888"
"Myanmar","MMR","1985","37222296"
"Myanmar","MMR","1986","37957332"
"Myanmar","MMR","1987","38673241"
"Myanmar","MMR","1988","39362142"
"Myanmar","MMR","1989","40014862"
"Myanmar","MMR","1990","40626250"
"Myanmar","MMR","1991","41190156"
"Myanmar","MMR","1992","41711465"
"Myanmar","MMR","1993","42209778"
"Myanmar","MMR","1994","42712223"
"Myanmar","MMR","1995","43237792"
"Myanmar","MMR","1996","43793310"
"Myanmar","MMR","1997","44371525"
"Myanmar","MMR","1998","44959935"
"Myanmar","MMR","1999","45539435"
"Myanmar","MMR","2000","46095462"
"Myanmar","MMR","2001","46627994"
"Myanmar","MMR","2002","47140220"
"Myanmar","MMR","2003","47624894"
"Myanmar","MMR","2004","48073707"
"Myanmar","MMR","2005","48482614"
"Myanmar","MMR","2006","48846474"
"Myanmar","MMR","2007","49171586"
"Myanmar","MMR","2008","49479752"
"Myanmar","MMR","2009","49800690"
"Myanmar","MMR","2010","50155896"
"Myanmar","MMR","2011","50553031"
"Myanmar","MMR","2012","50986514"
"Myanmar","MMR","2013","51448196"
"Myanmar","MMR","2014","51924182"
"Myanmar","MMR","2015","52403669"
"Myanmar","MMR","2016","52885223"
