"Country Name","Country Code","Year","Value"
"Namibia","NAM","1960","602544"
"Namibia","NAM","1961","617277"
"Namibia","NAM","1962","632654"
"Namibia","NAM","1963","648661"
"Namibia","NAM","1964","665282"
"Namibia","NAM","1965","682551"
"Namibia","NAM","1966","700341"
"Namibia","NAM","1967","718685"
"Namibia","NAM","1968","737886"
"Namibia","NAM","1969","758377"
"Namibia","NAM","1970","780384"
"Namibia","NAM","1971","804157"
"Namibia","NAM","1972","829441"
"Namibia","NAM","1973","855380"
"Namibia","NAM","1974","880785"
"Namibia","NAM","1975","904839"
"Namibia","NAM","1976","927503"
"Namibia","NAM","1977","949193"
"Namibia","NAM","1978","970258"
"Namibia","NAM","1979","991226"
"Namibia","NAM","1980","1012672"
"Namibia","NAM","1981","1034264"
"Namibia","NAM","1982","1056366"
"Namibia","NAM","1983","1081081"
"Namibia","NAM","1984","1111132"
"Namibia","NAM","1985","1148302"
"Namibia","NAM","1986","1193592"
"Namibia","NAM","1987","1245990"
"Namibia","NAM","1988","1302741"
"Namibia","NAM","1989","1359933"
"Namibia","NAM","1990","1414692"
"Namibia","NAM","1991","1465740"
"Namibia","NAM","1992","1513721"
"Namibia","NAM","1993","1559983"
"Namibia","NAM","1994","1606718"
"Namibia","NAM","1995","1655359"
"Namibia","NAM","1996","1706489"
"Namibia","NAM","1997","1758994"
"Namibia","NAM","1998","1810566"
"Namibia","NAM","1999","1858042"
"Namibia","NAM","2000","1899257"
"Namibia","NAM","2001","1933596"
"Namibia","NAM","2002","1962147"
"Namibia","NAM","2003","1986535"
"Namibia","NAM","2004","2009228"
"Namibia","NAM","2005","2032196"
"Namibia","NAM","2006","2055734"
"Namibia","NAM","2007","2079915"
"Namibia","NAM","2008","2106375"
"Namibia","NAM","2009","2137040"
"Namibia","NAM","2010","2173170"
"Namibia","NAM","2011","2215621"
"Namibia","NAM","2012","2263934"
"Namibia","NAM","2013","2316520"
"Namibia","NAM","2014","2370992"
"Namibia","NAM","2015","2425561"
"Namibia","NAM","2016","2479713"
