"Country Name","Country Code","Year","Value"
"Nauru","NRU","1960","4433"
"Nauru","NRU","1961","4675"
"Nauru","NRU","1962","4947"
"Nauru","NRU","1963","5231"
"Nauru","NRU","1964","5500"
"Nauru","NRU","1965","5738"
"Nauru","NRU","1966","5936"
"Nauru","NRU","1967","6102"
"Nauru","NRU","1968","6241"
"Nauru","NRU","1969","6368"
"Nauru","NRU","1970","6493"
"Nauru","NRU","1971","6619"
"Nauru","NRU","1972","6743"
"Nauru","NRU","1973","6862"
"Nauru","NRU","1974","6972"
"Nauru","NRU","1975","7070"
"Nauru","NRU","1976","7156"
"Nauru","NRU","1977","7235"
"Nauru","NRU","1978","7311"
"Nauru","NRU","1979","7393"
"Nauru","NRU","1980","7488"
"Nauru","NRU","1981","7597"
"Nauru","NRU","1982","7719"
"Nauru","NRU","1983","7855"
"Nauru","NRU","1984","8007"
"Nauru","NRU","1985","8174"
"Nauru","NRU","1986","8356"
"Nauru","NRU","1987","8550"
"Nauru","NRU","1988","8752"
"Nauru","NRU","1989","8956"
"Nauru","NRU","1990","9157"
"Nauru","NRU","1991","9354"
"Nauru","NRU","1992","9544"
"Nauru","NRU","1993","9719"
"Nauru","NRU","1994","9863"
"Nauru","NRU","1995","9970"
"Nauru","NRU","1996","10033"
"Nauru","NRU","1997","10056"
"Nauru","NRU","1998","10054"
"Nauru","NRU","1999","10044"
"Nauru","NRU","2000","10042"
"Nauru","NRU","2001","10053"
"Nauru","NRU","2002","10073"
"Nauru","NRU","2003","10096"
"Nauru","NRU","2004","10113"
"Nauru","NRU","2005","10115"
"Nauru","NRU","2006","10101"
"Nauru","NRU","2007","10075"
"Nauru","NRU","2008","10047"
"Nauru","NRU","2009","10028"
"Nauru","NRU","2010","10025"
"Nauru","NRU","2011","10057"
"Nauru","NRU","2012","10279"
"Nauru","NRU","2013","10821"
"Nauru","NRU","2014","11853"
"Nauru","NRU","2015","12475"
"Nauru","NRU","2016","13049"
