"Year","Value"
"1960","11486631.0"
"1961","11638712.0"
"1962","11805689.0"
"1963","11965966.0"
"1964","12127120.0"
"1965","12294732.0"
"1966","12456251.0"
"1967","12598201.0"
"1968","12729721.0"
"1969","12877984.0"
"1970","13038526.0"
"1971","13194497.0"
"1972","13328593.0"
"1973","13439322.0"
"1974","13545056.0"
"1975","13666335.0"
"1976","13774037.0"
"1977","13856185.0"
"1978","13941700.0"
"1979","14038270.0"
"1980","14149800.0"
"1981","14247208.0"
"1982","14312690.0"
"1983","14367070.0"
"1984","14424211.0"
"1985","14491632.0"
"1986","14572278.0"
"1987","14665037.0"
"1988","14760094.0"
"1989","14848907.0"
"1990","14951510.0"
"1991","15069798.0"
"1992","15184166.0"
"1993","15290368.0"
"1994","15382838.0"
"1995","15459006.0"
"1996","15530498.0"
"1997","15610650.0"
"1998","15707209.0"
"1999","15812088.0"
"2000","15925513.0"
"2001","16046180.0"
"2002","16148929.0"
"2003","16225302.0"
"2004","16281779.0"
"2005","16319868.0"
"2006","16346101.0"
"2007","16381696.0"
"2008","16445593.0"
"2009","16530388.0"
"2010","16615394.0"
"2011","16693074.0"
"2012","16754962.0"
"2013","16804432.0"
"2014","16865008.0"
"2015","16939923.0"
"2016","17018408.0"
